CDT_Time,bar_fence,R_Bulk
19:02:30,|,18.9389472873327
19:07:30,|,28.5597893290778
19:12:30,|,25.7980988424493
19:17:30,|,25.7122276752282
19:22:30,|,61.9633340084335
19:27:30,|,68.5347975894235
19:32:30,|,33.6823092293613
19:37:30,|,96.7699096921621
19:42:30,|,20.9448158472229
19:47:30,|,24.0665928635049
19:52:30,|,65.3596201517604
19:57:30,|,45.5303938007978
20:02:30,|,22.6114788533029
20:07:30,|,41.2564842826308
20:12:30,|,53.1080279591942
20:17:30,|,50.5280569026377
20:22:30,|,52.7334858652864
20:27:30,|,45.5707556119661
20:32:30,|,48.6736544326827
20:37:30,|,95.6585301582216
20:42:30,|,140.254133310048
20:47:30,|,149.947039730968
20:52:30,|,161.65960973109
20:57:30,|,244.671326439593
21:02:30,|,363.167495742433
21:07:30,|,302.999488225044
21:12:30,|,38.7604546117739
21:17:30,|,68.2610233379058
21:22:30,|,52.6022935244517
21:27:30,|,2362.57647221888
21:32:30,|,1066.2263288988
21:37:30,|,182.841439536119
21:42:30,|,438.892054747086
21:47:30,|,7219.06266587082
21:52:30,|,1031.82395443652
21:57:30,|,849.013156898083
22:02:30,|,11253.534522486
22:07:30,|,1042.6327664297
22:12:30,|,2501.43168049926
22:17:30,|,1192.80904399222
22:22:30,|,5978.05616628108
22:27:30,|,4699.90232742258
22:32:30,|,3256.68429846351
22:37:30,|,-1028.00787512016
22:42:30,|,-2747.70551887736
22:47:30,|,-3852.24658829655
22:52:30,|,-6768.7524794511
22:57:30,|,-1685.16953454594
23:02:30,|,-17927.5815082471
23:07:30,|,-347.414691957839
23:12:30,|,-2563.7812455697
23:17:30,|,-6422.5254644183
23:22:30,|,-1793.53778358499
23:27:30,|,-433.473815840811
23:32:30,|,-1666.12403306749
23:37:30,|,-849.596250280418
23:42:30,|,-266.98604329011
23:47:30,|,-526.196348715919
23:52:30,|,-6926.57363354906
23:57:30,|,-4750.15139822164
00:02:30,|,-11217.4636053501
00:07:30,|,-1608.76452893026
00:12:30,|,-240.394894020042
00:17:30,|,-700.829636148591
00:22:30,|,-485.38483557698
00:27:30,|,-390.970565975849
00:32:30,|,-248.978795115726
00:37:30,|,-4536.14550621219
00:42:30,|,-398.807220720195
00:47:30,|,-128.11457574011
00:52:30,|,-204.785474287526
00:57:30,|,-208.578697146607
01:02:30,|,-3309.35140691027
01:07:30,|,-123.943260734484
01:12:30,|,-85.2841563847545
01:17:30,|,-267.211426102173
01:22:30,|,-391.47987180178
01:27:30,|,-836.193437068019
01:32:30,|,-190.319283124746
01:37:30,|,-2751.83053136827
01:42:30,|,-473.409092761511
01:47:30,|,-192.267432978077
01:52:30,|,-457.145226459385
01:57:30,|,-3409.57308665089
02:02:30,|,-873.855761381322
02:07:30,|,-3519.31043732903
02:12:30,|,-390.773433461011
02:17:30,|,-213.481143715774
02:22:30,|,-491.081522825522
02:27:30,|,-330.470100270472
02:32:30,|,-1267.93474869491
02:37:30,|,-10465.0337800349
02:42:30,|,-1630.35602352737
02:47:30,|,-3899.76088227829
02:52:30,|,-734.522160413438
02:57:30,|,-170.408777476932
03:02:30,|,-48.3681858991218
03:07:30,|,-51.6677401109505
03:12:30,|,-82.8939404806608
03:17:30,|,-236.604649698882
03:22:30,|,-165.219895929297
03:27:30,|,-69.8540641075555
03:32:30,|,-49.4704511962987
03:37:30,|,-74.5946958048157
03:42:30,|,-40.2180456219235
03:47:30,|,-112.161495040519
03:52:30,|,-103.776424720073
03:57:30,|,-47.7471296660385
04:02:30,|,-98.4183073597507
04:07:30,|,-283.051259725608
04:12:30,|,-182.119826545688
04:17:30,|,-355.402679982445
04:22:30,|,-103.034093680721
04:27:30,|,-67.7418922405583
04:32:30,|,-126.673738446005
04:37:30,|,-191.524679445405
04:42:30,|,-65.743764074244
04:47:30,|,-43.697337378735
04:52:30,|,-65.8175746561404
04:57:30,|,-180.679705210959
05:02:30,|,-222.031768518633
05:07:30,|,-250.648611093276
05:12:30,|,-89.4819542011017
05:17:30,|,-240.920048748617
05:22:30,|,-42.4840992515315
05:27:30,|,-39.0055675961804
05:32:30,|,-801.633552460408
05:37:30,|,-99.7854258553861
05:42:30,|,-180.283050157105
05:47:30,|,-793.790612918023
05:52:30,|,-409.474779815908
05:57:30,|,-338.322910292699
06:02:30,|,-156.964027400712
06:07:30,|,-144.503810953788
06:12:30,|,-41.6544189699229
06:17:30,|,-85.6118476780057
06:22:30,|,-833.563916731717
06:27:30,|,-75.4250059709153
06:32:30,|,-206.513738953675
06:37:30,|,-50.5036397105844
06:42:30,|,-57.391239049126
06:47:30,|,-104.9642339608
06:52:30,|,-33.3583408964202
06:57:30,|,-55.5357270110852
07:02:30,|,-79.9182216751673
07:07:30,|,-250.340905459148
07:12:30,|,-363.123640268483
07:17:30,|,-99.3186546282528
07:22:30,|,-155.158235086295
