CDT_Time,bar_fence,R_Bulk
19:02:30,|,12.9197760019895
19:07:30,|,10.3558313125996
19:12:30,|,15.2747393021076
19:17:30,|,21.4975528735884
19:22:30,|,21.2283407721089
19:27:30,|,49.3520956466551
19:32:30,|,18.5643071154763
19:37:30,|,10.0717161054331
19:42:30,|,16.2348962298674
19:47:30,|,17.0869486736695
19:52:30,|,11.1587741917788
19:57:30,|,44.2551560055843
20:02:30,|,22.8112456663094
20:07:30,|,36.0086231685889
20:12:30,|,32.5663443280768
20:17:30,|,16.9330312494253
20:22:30,|,4.25330552949323
20:27:30,|,19.5805522604191
20:32:30,|,24.666919059749
20:37:30,|,129.905257107564
20:42:30,|,179.147778902738
20:47:30,|,-12.7428336126781
20:52:30,|,-84.384773446774
20:57:30,|,-135.26159805103
21:02:30,|,69.5288656478595
21:07:30,|,153.022109618378
21:12:30,|,232.556861968581
21:17:30,|,880.642544953089
21:22:30,|,211.494259413746
21:27:30,|,342.858262761904
21:32:30,|,653.462085858213
21:37:30,|,434.519892506854
21:42:30,|,-25.5790387669705
21:47:30,|,-34.8238957614896
21:52:30,|,0.221976155337734
21:57:30,|,-543.06309498045
22:02:30,|,1919.36448411192
22:07:30,|,203.18057883282
22:12:30,|,174.298179636204
22:17:30,|,110.414041157916
22:22:30,|,-2053.6254284752
22:27:30,|,-308.909968234138
22:32:30,|,-152.386378343098
22:37:30,|,1104.2892740438
22:42:30,|,-7162.46365047855
22:47:30,|,-706.173449791997
22:52:30,|,-194.883443717572
22:57:30,|,93.9930633010803
23:02:30,|,-329.743732995831
23:07:30,|,-235.569354548968
23:12:30,|,-325.061291402321
23:17:30,|,61.6674389628249
23:22:30,|,-103.239137442099
23:27:30,|,-75.4087576058309
23:32:30,|,12.0023113309656
23:37:30,|,-23.2291792600546
23:42:30,|,-36.7509013335635
23:47:30,|,2112.70224578087
23:52:30,|,1789.85883753512
23:57:30,|,674.726010827304
00:02:30,|,40.455420633191
00:07:30,|,-26.4201904874764
00:12:30,|,-269.677935524053
00:17:30,|,2117.56297449653
00:22:30,|,-83.9149176828536
00:27:30,|,40.2239853198458
00:32:30,|,16.5227817049014
00:37:30,|,125.889152267975
00:42:30,|,1490.2271436678
00:47:30,|,3.05609869513746
00:52:30,|,-2.04897195447313
00:57:30,|,-33.8874659241995
01:02:30,|,-33.373800780611
01:07:30,|,-34.7121753717973
01:12:30,|,-46.3804817712968
01:17:30,|,-30.944418679024
01:22:30,|,-15.8763172174998
01:27:30,|,14.4697428411816
01:32:30,|,-169.147097063119
01:37:30,|,285.851150789481
01:42:30,|,78.7558278621569
01:47:30,|,-57.7996277224996
01:52:30,|,-269.69122755671
01:57:30,|,76.6084890840603
02:02:30,|,-62.2639650656549
02:07:30,|,235.597524015857
02:12:30,|,9.32605044404849
02:17:30,|,-210.122982486262
02:22:30,|,-22.4988707524463
02:27:30,|,242.139048905062
02:32:30,|,161.484301241164
02:37:30,|,-7646.04029106711
02:42:30,|,144.880048265891
02:47:30,|,-6.4093401688886
02:52:30,|,-18.485081472806
02:57:30,|,-262.67811272757
03:02:30,|,4.8548204125442
03:07:30,|,-6.74937678673867
03:12:30,|,-106.623049411487
03:17:30,|,-4.78221727216816
03:22:30,|,53.3372251097073
03:27:30,|,-10.8245331106785
03:32:30,|,90.5684437147046
03:37:30,|,54.3333572159047
03:42:30,|,-9.83786292304946
03:47:30,|,-32.0177158623792
03:52:30,|,49.1488326666724
03:57:30,|,92.4321426946469
04:02:30,|,33.1183485182711
04:07:30,|,208.482631448045
04:12:30,|,103.848333056183
04:17:30,|,192.619344173659
04:22:30,|,1413.57885465721
04:27:30,|,-20.4670883101425
04:32:30,|,50.0496500181905
04:37:30,|,-154.989454010217
04:42:30,|,-50.9818881792297
04:47:30,|,107.07164196574
04:52:30,|,51.638406860682
04:57:30,|,16.3980268527609
05:02:30,|,9.06489591225124
05:07:30,|,11.7336201761384
05:12:30,|,62.9883492040423
05:17:30,|,647.586724216361
05:22:30,|,310.971494554266
05:27:30,|,18.1227939477352
05:32:30,|,69.3920605009588
05:37:30,|,27.6071889722768
05:42:30,|,182.653158901546
05:47:30,|,809.887032569967
05:52:30,|,0.26510374141998
05:57:30,|,73.9862436799843
06:02:30,|,6.78608953718147
06:07:30,|,36.8350353967029
06:12:30,|,161.072920902025
06:17:30,|,-913.046679111935
06:22:30,|,-21.4248642767311
06:27:30,|,-26.006425977605
06:32:30,|,5.42758654101235
06:37:30,|,3.16923507952734
06:42:30,|,9.16707642828044
06:47:30,|,96.4125148561605
06:52:30,|,51.2238096522035
06:57:30,|,99.3132907887775
07:02:30,|,-0.00496433212154032
07:07:30,|,-6.22499951594119
07:12:30,|,3963.49298362401
07:17:30,|,246.18898251014
07:22:30,|,289.547747902521
07:27:30,|,227.963250551808
07:32:30,|,86.1248805393836
07:37:30,|,124.041264715193
07:42:30,|,623.712244626913
07:47:30,|,1037.77031257657
07:52:30,|,2998.64777997391
07:57:30,|,2048.15073717529
08:02:30,|,-10766.9626166345
08:07:30,|,-1001.27270452345
08:12:30,|,-581.662207514155
08:17:30,|,-1519.04442972774
08:22:30,|,-495.845131079057
08:27:30,|,-470.72100707854
08:32:30,|,-368.680335467802
08:37:30,|,-636.925360700289
08:42:30,|,-273.56806093874
08:47:30,|,-104.324216306546
08:52:30,|,-217.149774896322
08:57:30,|,-139.168949148969
09:02:30,|,-255.154742462248
09:07:30,|,-93.7392836763566
09:12:30,|,-61.6477292456188
09:17:30,|,-106.066510505932
09:22:30,|,-52.3027753048462
09:27:30,|,-46.1068663321073
09:32:30,|,-46.4472666328492
09:37:30,|,-55.8269711779765
09:42:30,|,-62.4029445656233
09:47:30,|,-78.0502082848513
09:52:30,|,-45.1933288696492
09:57:30,|,-34.1430487628032
10:02:30,|,-47.3858546310594
10:07:30,|,-13.961311203139
10:12:30,|,-14.4511730114621
10:17:30,|,-20.5913941455793
10:22:30,|,-18.6425009078773
10:27:30,|,-8.22381962976031
10:32:30,|,-13.701481466398
10:37:30,|,-19.3546758798069
10:42:30,|,-12.6878361907152
10:47:30,|,-18.6647212942832
10:52:30,|,-19.9688756395558
10:57:30,|,-15.8734659219218
11:02:30,|,-32.2839637103399
11:07:30,|,-17.8606652132331
11:12:30,|,-13.9668278699986
11:17:30,|,-10.8222688170424
11:22:30,|,-12.090990360082
11:27:30,|,-14.2095742729642
11:32:30,|,-7.01800835737619
11:37:30,|,-25.755697614246
11:42:30,|,-20.8846945692557
11:47:30,|,-19.60140582151
11:52:30,|,-9.71177885295356
11:57:30,|,-8.58942211038756
12:02:30,|,-11.5926804219887
12:07:30,|,-7.36313268204134
12:12:30,|,-8.19007118969258
12:17:30,|,-11.8768455079775
12:22:30,|,-30.4927222368764
12:27:30,|,-12.759953594264
12:32:30,|,-13.4986657268435
12:37:30,|,-71.6147439805362
12:42:30,|,-8.47137524829355
12:47:30,|,-27.6549152847855
12:52:30,|,-15.1756812765886
12:57:30,|,-28.0891260997931
13:02:30,|,-106.693117703672
13:07:30,|,-14.9702522720408
13:12:30,|,-40.9843375851155
13:17:30,|,-11.955491503482
13:22:30,|,-47.9937983006331
13:27:30,|,-63.0651160060368
13:32:30,|,-1136.25315986647
13:37:30,|,-54.7672802697068
13:42:30,|,-37.836002592052
13:47:30,|,-24.4512832026108
13:52:30,|,-23.5126377543114
13:57:30,|,-52.5689615103681
14:02:30,|,-36.4752025965069
14:07:30,|,-19.7021249094594
14:12:30,|,-11.5345579488381
14:17:30,|,-18.6444580886989
14:22:30,|,-34.3981398946646
14:27:30,|,-43.8015157159915
14:32:30,|,-65.5610478110298
14:37:30,|,-13.5895024419854
14:42:30,|,-21.117190696705
14:47:30,|,-30.2574054333261
14:52:30,|,-19.5374522744503
14:57:30,|,-6.93347139951824
15:02:30,|,-67.0430690639978
15:07:30,|,-19.7180069966837
15:12:30,|,-8.42319321245019
15:17:30,|,-23.7305139801994
15:22:30,|,-79.1048831222484
15:27:30,|,-22.0713041858555
15:32:30,|,-124.551581565257
15:37:30,|,-25.7028277801302
15:42:30,|,-18.5437524278845
15:47:30,|,-53.4665347628618
15:52:30,|,-15.4238242349405
15:57:30,|,-14.7812556665467
16:02:30,|,-13.7860251203353
16:07:30,|,-11.5542991038315
16:12:30,|,-10.3610900867378
16:17:30,|,-21.3789374594694
16:22:30,|,-13.808618950497
16:27:30,|,-46.6967714514903
16:32:30,|,-8.39640311901304
16:37:30,|,-35.0567115014848
16:42:30,|,-15.9737287689931
16:47:30,|,-14.5494601804752
16:52:30,|,-16.7524281506439
16:57:30,|,-10.75004691389
17:02:30,|,-13.427973299991
17:07:30,|,-6.5067756034227
17:12:30,|,-9.7798233303196
17:17:30,|,-16.9295191304378
17:22:30,|,-14.721907277408
17:27:30,|,-6.442825009091
17:32:30,|,-2.05567394542748
17:37:30,|,-1.38207534602435
17:42:30,|,-0.231733729620473
17:47:30,|,36.03058702354
17:52:30,|,15.9398246167306
17:57:30,|,32.460963408762
18:02:30,|,12.1849925605419
18:07:30,|,8.05925178607929
18:12:30,|,15.9251269325611
18:17:30,|,29.6320705596115
18:22:30,|,80.9299812703346
18:27:30,|,219.881926518114
18:32:30,|,984.128313396282
18:37:30,|,1572.24306339123
18:42:30,|,528.588647777086
18:47:30,|,616.908548839277
18:52:30,|,570.334366596663
18:57:30,|,555.02048750603
