 


Sub-Daily Data Between Two Dates
HOUSTON HOBBY AP (TX)
12918
Lat/Lon/Elev: 29.6381/-95.2819/44 ft

Date,Time,Temp (F),RH (%),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Atm Press (hPa),Sea Lev Press (hPa),Precip (in),
2000-06-01,05:53,75,90,0,0,m,M,1017.20,0.00,
2000-06-01,06:53,79,82,5,150,m,M,1017.90,0.00,
2000-06-01,07:53,82,74,8,160,m,M,1018.40,0.00,
2000-06-01,08:53,84,65,10,170,m,M,1018.50,0.00,
2000-06-01,09:53,86,58,6,130,m,M,1018.40,0.00,
2000-06-01,10:53,88,53,9,180,m,M,1018.40,0.00,
2000-06-01,11:53,89,55,7,150,m,M,1018.30,0.00,
2000-06-02,05:53,74,93,3,120,m,M,1019.80,0.00,
2000-06-02,06:53,77,87,5,130,m,M,1020.40,0.00,
2000-06-02,07:53,81,76,3,M,m,M,1020.80,0.00,
2000-06-02,08:53,84,65,8,130,m,M,1020.50,0.00,
2000-06-02,09:53,86,58,7,M,m,M,1020.30,0.00,
2000-06-02,10:53,88,55,9,130,m,M,1020.30,0.00,
2000-06-02,11:53,89,55,8,170,m,M,1019.90,0.00,
2000-06-03,05:53,75,96,0,0,m,M,1019.10,0.00,
2000-06-03,06:53,79,87,0,0,m,M,1019.30,0.00,
2000-06-03,07:53,80,84,3,230,m,M,1019.60,0.00,
2000-06-03,08:53,83,74,5,220,m,M,1019.60,0.00,
2000-06-03,09:53,85,65,5,220,m,M,1019.40,0.00,
2000-06-03,10:53,87,60,5,100,m,M,1019.00,0.00,
2000-06-03,11:53,87,59,5,M,m,M,1018.40,0.00,
2000-06-04,05:53,77,90,7,180,m,M,1014.10,0.00,
2000-06-04,06:53,78,87,6,210,m,M,1014.90,0.00,
2000-06-04,07:53,79,87,9,210,m,M,1015.10,0.00,
2000-06-04,08:53,82,79,12,190,m,M,1015.10,0.00,
2000-06-04,09:53,85,67,10,210,m,M,1015.30,0.00,
2000-06-04,10:53,84,69,10,290,16,M,1015.10,0.00,
2000-06-04,11:53,89,57,15,200,m,M,1014.30,0.06,
2000-06-05,05:53,72,96,5,120,m,M,1015.10,0.30,
2000-06-05,06:53,73,96,5,120,m,M,1014.90,0.00,
2000-06-05,07:53,76,87,5,240,m,M,1015.60,0.00,
2000-06-05,08:53,78,84,9,270,m,M,1015.80,0.00,
2000-06-05,09:53,79,82,8,290,m,M,1016.20,0.00,
2000-06-05,10:53,80,76,5,300,m,M,1016.40,0.00,
2000-06-05,11:53,80,74,12,270,m,M,1016.10,0.00,
