,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
9/10/2018,11:05 PM,58 F,54 F,87 %,N,8 mph,0 mph,29.16 in,0.0 in,Mostly Cloudy
,11:37 PM,57 F,53 F,87 %,N,8 mph,0 mph,29.16 in,0.0 in,Fair
,11:53 PM,57 F,54 F,89 %,N,7 mph,0 mph,29.16 in,0.0 in,Partly Cloudy
,12:04 AM,57 F,54 F,89 %,NNW,7 mph,0 mph,29.16 in,0.0 in,Mostly Cloudy
,12:53 AM,58 F,54 F,87 %,N,8 mph,0 mph,29.15 in,0.0 in,Cloudy
,1:53 AM,59 F,54 F,83 %,NNE,8 mph,0 mph,29.15 in,0.0 in,Cloudy
,2:53 AM,58 F,54 F,87 %,NNW,7 mph,0 mph,29.15 in,0.0 in,Cloudy
,3:53 AM,57 F,54 F,89 %,NW,6 mph,0 mph,29.17 in,0.0 in,Cloudy
,4:53 AM,56 F,54 F,93 %,NW,7 mph,0 mph,29.18 in,0.0 in,Cloudy
,5:53 AM,56 F,54 F,93 %,NNW,6 mph,0 mph,29.20 in,0.0 in,Cloudy
,6:19 AM,57 F,54 F,89 %,N,7 mph,0 mph,29.20 in,0.0 in,Partly Cloudy
,6:53 AM,59 F,55 F,87 %,N,8 mph,0 mph,29.20 in,0.0 in,Fair
,7:53 AM,63 F,56 F,78 %,NNW,7 mph,0 mph,29.22 in,0.0 in,Fair
,8:53 AM,66 F,56 F,70 %,NE,6 mph,0 mph,29.23 in,0.0 in,Fair
,9:53 AM,71 F,58 F,63 %,N,10 mph,0 mph,29.23 in,0.0 in,Fair
,10:53 AM,75 F,58 F,55 %,N,10 mph,0 mph,29.22 in,0.0 in,Fair
,11:53 AM,76 F,58 F,54 %,NNW,8 mph,0 mph,29.21 in,0.0 in,Fair
,12:53 PM,80 F,59 F,48 %,NNW,10 mph,0 mph,29.20 in,0.0 in,Partly Cloudy
,1:53 PM,76 F,57 F,52 %,NNW,8 mph,0 mph,29.20 in,0.0 in,Mostly Cloudy
,2:53 PM,80 F,55 F,42 %,N,9 mph,0 mph,29.18 in,0.0 in,Mostly Cloudy
,3:53 PM,78 F,56 F,46 %,NNW,8 mph,0 mph,29.18 in,0.0 in,Mostly Cloudy
,4:53 PM,78 F,56 F,46 %,N,3 mph,0 mph,29.19 in,0.0 in,Fair
,5:53 PM,71 F,59 F,66 %,N,5 mph,0 mph,29.20 in,0.0 in,Fair
,6:53 PM,67 F,58 F,73 %,CALM,0 mph,0 mph,29.21 in,0.0 in,Fair
,7:53 PM,64 F,58 F,80 %,N,3 mph,0 mph,29.24 in,0.0 in,Fair
,8:53 PM,64 F,59 F,84 %,ENE,7 mph,0 mph,29.26 in,0.0 in,Fair
,9:53 PM,61 F,58 F,90 %,E,6 mph,0 mph,29.28 in,0.0 in,Fair
,10:53 PM,60 F,58 F,93 %,E,6 mph,0 mph,29.29 in,0.0 in,Fair
9/11/2018,11:53 PM,59 F,57 F,93 %,E,6 mph,0 mph,29.29 in,0.0 in,Fair
,12:53 AM,58 F,56 F,93 %,E,6 mph,0 mph,29.29 in,0.0 in,Fair
,1:53 AM,57 F,56 F,96 %,E,6 mph,0 mph,29.29 in,0.0 in,Fair
,2:53 AM,56 F,56 F,100 %,E,3 mph,0 mph,29.30 in,0.0 in,Fair
,3:53 AM,56 F,55 F,97 %,E,3 mph,0 mph,29.31 in,0.0 in,Fair
,4:53 AM,56 F,56 F,100 %,E,5 mph,0 mph,29.31 in,0.0 in,Fair
,5:53 AM,56 F,55 F,97 %,E,5 mph,0 mph,29.33 in,0.0 in,Fair
,6:53 AM,60 F,59 F,96 %,ESE,3 mph,0 mph,29.34 in,0.0 in,Fair
,7:53 AM,66 F,62 F,87 %,ESE,5 mph,0 mph,29.35 in,0.0 in,Fair
,8:53 AM,72 F,61 F,68 %,SE,6 mph,0 mph,29.36 in,0.0 in,Fair
,9:53 AM,76 F,58 F,54 %,SE,6 mph,0 mph,29.37 in,0.0 in,Fair
,10:53 AM,79 F,57 F,47 %,E,7 mph,0 mph,29.36 in,0.0 in,Partly Cloudy
,11:53 AM,80 F,56 F,43 %,NNE,5 mph,0 mph,29.35 in,0.0 in,Fair
,12:53 PM,81 F,55 F,41 %,VAR,5 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy
,1:53 PM,81 F,54 F,39 %,VAR,6 mph,0 mph,29.32 in,0.0 in,Fair
,2:53 PM,81 F,54 F,39 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Fair
,3:53 PM,81 F,56 F,42 %,ENE,6 mph,0 mph,29.30 in,0.0 in,Fair
,4:53 PM,81 F,55 F,41 %,ESE,6 mph,0 mph,29.29 in,0.0 in,Fair
,5:53 PM,75 F,57 F,53 %,SE,7 mph,0 mph,29.29 in,0.0 in,Fair
,6:53 PM,67 F,59 F,76 %,E,8 mph,0 mph,29.31 in,0.0 in,Fair
,7:53 PM,64 F,59 F,84 %,SE,5 mph,0 mph,29.32 in,0.0 in,Fair
,8:53 PM,62 F,58 F,86 %,SSE,5 mph,0 mph,29.32 in,0.0 in,Fair
,9:53 PM,62 F,58 F,86 %,SSE,5 mph,0 mph,29.33 in,0.0 in,Fair
,10:53 PM,60 F,58 F,93 %,SSE,5 mph,0 mph,29.34 in,0.0 in,Fair
