,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5
10/15/2018,22:07:28,,22:07:28,,22:07:28,,22:07:28,,22:07:28,,22:07:28,,22:07:28,,22:07:28,0.005
10/15/2018,22:07:29,,22:07:29,,22:07:29,,22:07:29,,22:07:29,,22:07:29,,22:07:29,,22:07:29,0.009
10/15/2018,22:07:30,,22:07:30,,22:07:30,,22:07:30,,22:07:30,,22:07:30,,22:07:30,,22:07:30,0.011
10/15/2018,22:07:31,,22:07:31,,22:07:31,,22:07:31,,22:07:31,,22:07:31,,22:07:31,,22:07:31,0.01
10/15/2018,22:07:32,,22:07:32,,22:07:32,,22:07:32,,22:07:32,,22:07:32,,22:07:32,,22:07:32,0.011
10/15/2018,22:07:33,,22:07:33,,22:07:33,,22:07:33,,22:07:33,,22:07:33,,22:07:33,,22:07:33,0.011
10/15/2018,22:07:34,,22:07:34,,22:07:34,,22:07:34,,22:07:34,,22:07:34,,22:07:34,,22:07:34,0.01
10/15/2018,22:07:35,,22:07:35,,22:07:35,,22:07:35,,22:07:35,,22:07:35,,22:07:35,,22:07:35,0.011
10/15/2018,22:07:36,,22:07:36,,22:07:36,,22:07:36,,22:07:36,,22:07:36,,22:07:36,,22:07:36,0.011
10/15/2018,22:07:37,,22:07:37,,22:07:37,,22:07:37,,22:07:37,,22:07:37,,22:07:37,,22:07:37,0.011
10/15/2018,22:07:38,,22:07:38,,22:07:38,,22:07:38,,22:07:38,,22:07:38,,22:07:38,,22:07:38,0.011
10/15/2018,22:07:39,,22:07:39,,22:07:39,,22:07:39,,22:07:39,,22:07:39,,22:07:39,,22:07:39,0.01
10/15/2018,22:07:40,,22:07:40,,22:07:40,,22:07:40,,22:07:40,,22:07:40,,22:07:40,,22:07:40,0.011
10/15/2018,22:07:41,,22:07:41,,22:07:41,,22:07:41,,22:07:41,,22:07:41,,22:07:41,,22:07:41,0.01
10/15/2018,22:07:42,,22:07:42,,22:07:42,,22:07:42,,22:07:42,,22:07:42,,22:07:42,,22:07:42,0.01
