,,DT6,,,DT7,,,DT8,,,DT2,,,DT3,,,DT10,,,DT9,,,DT5,
10/18/2018,0:02:30,0.004,0.004813333,0:02:30,0.012,0.012436667,0:02:30,0.015,0.014623333,0:02:30,0.001,0.002333333,0:02:30,,#DIV/0!,0:02:30,0.009,0.009173333,23:54:32,0,0,,,#DIV/0!
10/18/2018,0:07:30,0.004,0.004333333,0:07:30,0.013,0.012343333,0:07:30,0.012,0.013696667,0:07:30,0.001,0.00412,0:07:30,,#DIV/0!,0:07:30,0.021,0.009556667,23:54:32,0,0,,,#DIV/0!
10/18/2018,0:12:30,0.005,0.00354,0:12:30,0.012,0.012273333,0:12:30,0.013,0.013393333,0:12:30,0.004,0.0043,0:12:30,,#DIV/0!,0:12:30,0.008,0.008663333,23:54:32,0,0,,,#DIV/0!
10/18/2018,0:17:30,0.003,0.003796667,0:17:30,0.014,0.013093333,0:17:30,0.014,0.013846667,0:17:30,0.005,0.004223333,0:17:30,,#DIV/0!,0:17:30,0.009,0.00937,23:54:32,0,0,0:17:30,0.01,0.012478495
10/18/2018,0:22:30,44.9,58.77665667,0:22:30,21.1,59.91414333,0:22:30,0.012,0.013373333,0:22:30,0.001,0.003683333,0:22:30,,#DIV/0!,0:22:30,0.009,0.00936,23:54:32,0,0,0:22:30,0.013,0.01291
10/18/2018,0:27:30,0.002,2.048783333,0:27:30,0.012,17.41406333,0:27:30,3.44,10.10241667,0:27:30,1.082,0.477593333,0:27:30,,#DIV/0!,0:27:30,0.009,0.329583333,23:54:32,0,0,0:27:30,0.011,0.0118
10/18/2018,0:32:30,94,27.9678,0:32:30,24.7,34.86149333,0:32:30,4.87,4.624676667,0:32:30,5.094,3.87718,0:32:30,,#DIV/0!,0:32:30,1.06,1.764683333,23:54:32,0,0,0:32:30,0.011,0.011866667
10/18/2018,0:37:30,5.66,29.43148333,0:37:30,80.9,151.2647667,0:37:30,5.41,5.546833333,0:37:30,5.797,5.441463333,0:37:30,,#DIV/0!,0:37:30,0.22,0.482843333,23:54:32,0,0,0:37:30,0.014,0.012416667
10/18/2018,0:42:30,2.44,25.27174333,0:42:30,219,175.31923,0:42:30,6.45,5.655343333,0:42:30,5.239,4.91115,0:42:30,,#DIV/0!,0:42:30,1.99,2.61442,23:54:32,0,0,0:42:30,0.011,0.01186
10/18/2018,0:47:30,0.003,2.283476667,0:47:30,0.016,0.03449,0:47:30,1.04,3.04744,0:47:30,0.013,0.159916667,0:47:30,,#DIV/0!,0:47:30,5.71,5.141333333,23:54:32,0,0,0:47:30,0.011,0.01116
10/18/2018,0:52:30,14.4,46.89036667,0:52:30,288,133.84758,0:52:30,3.92,4.718043333,0:52:30,1.729,1.321853333,0:52:30,,#DIV/0!,0:52:30,2.75,3.189266667,23:54:32,0,0,0:52:30,0.01,0.011256667
10/18/2018,0:57:30,17.2,31.34285667,0:57:30,0.092,46.82414333,0:57:30,32.1,26.52620667,0:57:30,0.141,0.393966667,0:57:30,,#DIV/0!,0:57:30,2.35,2.383633333,23:54:32,0,0,0:57:30,0.011,0.010546667
10/18/2018,1:02:30,87.8,58.91086667,1:02:30,0.768,23.88182333,1:02:30,4.08,4.158746667,1:02:30,4.196,3.676493333,1:02:30,,#DIV/0!,1:02:30,11.3,4.8473,23:54:32,0,0,1:02:30,0.01,0.011036667
10/18/2018,1:07:30,11.4,32.80949333,1:07:30,1.78,29.08888,1:07:30,4.23,4.064943333,1:07:30,5.662,5.208793333,1:07:30,,#DIV/0!,1:07:30,7.47,5.704686667,23:54:32,0,0,1:07:30,0.017,0.01153
10/18/2018,1:12:30,60.4,52.03106,1:12:30,9.25,53.41419333,1:12:30,9.57,2.08004,1:12:30,7.049,8.985223333,1:12:30,,#DIV/0!,1:12:30,4.16,3.972033333,23:54:32,0,0,1:12:30,0.009,0.0106
10/18/2018,1:17:30,117,45.18105,1:17:30,0.013,0.321823333,1:17:30,0.023,0.05004,1:17:30,4.182,5.699456667,1:17:30,,#DIV/0!,1:17:30,2.11,2.558833333,23:54:32,0,0,1:17:30,0.01,0.01046
10/18/2018,1:22:30,16.2,59.5162,1:22:30,364,178.7627667,1:22:30,6.05,5.59843,1:22:30,5.544,5.015596667,1:22:30,,#DIV/0!,1:22:30,2.01,1.390876667,23:54:32,0,0,1:22:30,0.011,0.010913333
10/18/2018,1:27:30,0.004,21.57396,1:27:30,0.016,43.82247,1:27:30,9.72,8.367366667,1:27:30,1.721,2.862193333,1:27:30,,#DIV/0!,1:27:30,1.51,1.454086667,23:54:32,0,0,1:27:30,0.011,0.01052
