CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
18:02:30,|,3.23902297,5.215555668,5.611235142,5.89669323,6.272946358,6.627148628,|,3.149836779,4.88613987,5.663088799,6.153948307,6.427976131,6.922718048,|,2.49415803,3.998924732,4.738303185,5.117117882,5.53668642,6.06217432,|,0,0,0,0,0,0,|,6.724859238,0,7.177468777,0,7.321534634,0,,1,1,1,0
18:07:30,|,2.840586662,4.512382507,4.977571011,5.249401093,5.595804214,5.847353458,|,3.003493309,4.682040691,5.308172226,5.772887707,5.964949608,6.390942097,|,2.555449963,4.211005688,4.871799946,5.283816814,5.646070957,6.119895935,|,0,0,0,0,0,0,|,6.247784615,0,6.582816601,0,6.80973196,0,,1,1,1,0
18:12:30,|,2.734333277,4.355426311,4.811558723,5.187657356,5.517285347,5.83546257,|,2.649069786,4.133675575,4.75372076,5.06772995,5.244022369,5.634609222,|,2.487709999,4.015116692,4.637684345,4.974416256,5.244403839,5.660575867,|,0,0,0,0,0,0,|,5.462562084,0,5.961044312,0,6.203789234,0,,1,1,1,0
18:17:30,|,2.584946632,4.036955357,4.388441563,4.70477581,4.976861954,5.253082752,|,2.825479984,4.423141479,5.123602867,5.511001587,5.708387375,6.137726307,|,2.353280067,3.825992584,4.45941782,4.75692749,5.038199425,5.394464016,|,0,0,0,0,0,0,|,5.97507143,0,6.309949875,0,6.432408333,0,,1,1,1,0
18:22:30,|,2.935703278,4.719985962,5.198524475,5.513818741,5.862535,6.295752525,|,2.847496748,4.466653347,5.020112514,5.286570072,5.553837299,6.02374506,|,2.528503418,4.117443562,4.882050037,5.218672752,5.566858768,6.075201511,|,0,0,0,0,0,0,|,5.824446201,0,6.341278076,0,6.571912289,0,,1,1,1,0
18:27:30,|,2.94925642,4.780092239,5.174772739,5.458861351,5.740017891,5.915424347,|,2.674570084,4.198635101,4.69281435,4.977789879,5.193706512,5.548748016,|,2.478209496,4.053637028,4.756196022,5.090480328,5.390365601,5.883793831,|,0,0,0,0,0,0,|,5.424061775,0,5.759255886,0,5.929637432,0,,1,1,1,0
18:32:30,|,2.75632,4.429642677,4.839725494,5.157744884,5.462520599,5.726727962,|,2.733196735,4.246086121,4.73085165,5.070985794,5.381342888,5.714160919,|,2.424253225,3.935399532,4.560278893,4.849000931,5.191477776,5.568331718,|,0,0,0,0,0,0,|,5.549028397,0,5.973975182,0,6.236692905,0,,1,1,1,0
18:37:30,|,2.941963434,4.714323997,5.089196205,5.363331795,5.696614742,5.940879345,|,2.594936609,3.956367254,4.454770088,4.736912251,5.063735008,5.399232388,|,2.400016785,3.913859606,4.41252327,4.68700552,5.01715374,5.434622765,|,0,0,0,0,0,0,|,5.249860287,0,5.59700489,0,5.718073845,0,,1,1,1,0
18:42:30,|,2.643153429,4.368800163,4.807106972,5.090375423,5.409410954,5.723984241,|,2.722790956,4.207839489,4.661007404,4.909460545,5.164096355,5.602806568,|,2.485650063,3.99638176,4.565927982,4.898664951,5.196526051,5.670828819,|,0,0,0,0,0,0,|,5.388558865,0,5.829614162,0,6.047653198,0,,1,1,1,0
18:47:30,|,2.693036556,4.4182868,4.864848137,5.123680592,5.459322929,5.767576218,|,2.4990201,3.904616356,4.371080875,4.668000698,4.926949501,5.316692352,|,2.364396572,3.872862816,4.4680686,4.781466484,5.088374615,5.48514986,|,0,0,0,0,0,0,|,5.131026745,0,5.590107441,0,5.822842598,0,,1,1,1,0
18:52:30,|,2.499493122,4.102977753,4.516137123,4.818381786,5.149374485,5.494637012,|,2.614840031,4.094434261,4.57500267,4.845303535,5.1656003,5.605103493,|,2.242304087,3.672799826,4.258262634,4.505798817,4.824954987,5.202741623,|,0,0,0,0,0,0,|,5.403428078,0,5.869253159,0,6.110961914,0,,1,1,1,0
18:57:30,|,2.872356653,4.629833698,4.974104404,5.35124445,5.658993721,5.957186699,|,2.866903305,4.377863884,4.966868401,5.316937923,5.580209255,5.992753506,|,2.492136717,4.01222086,4.633887291,4.956954956,5.286297798,5.718289852,|,0,0,0,0,0,0,|,5.765627384,0,6.253686428,0,6.471880436,0,,1,1,1,0
19:02:30,|,2.560136557,4.071747303,4.042188644,4.712498665,5.038751125,5.289804459,|,2.495923281,3.874901772,4.435453415,4.793430328,5.026396751,5.56756258,|,2.17802,3.621287823,4.18397665,4.516662598,4.852133751,5.303390026,|,0,0,0,0,0,0,|,5.320392609,0,5.886620998,0,6.189335823,0,,0,1,1,0
19:07:30,|,2.333199978,3.689601898,4.097277641,4.40499115,4.687405586,4.862979889,|,2.173773289,3.247433186,3.792722464,4.141610146,4.34432745,4.813805103,|,2.035446644,3.278159857,3.902034521,4.238569736,4.569959164,5.000669479,|,0,0,0,0,0,0,|,4.614504814,0,5.022339821,0,5.288293362,0,,1,1,1,0
19:12:30,|,2.456066608,3.874953508,4.260173798,4.562169552,4.912275791,5.154441357,|,2.217862606,3.376943111,3.937265396,4.306187153,4.537223816,4.959760189,|,1.840489984,3.012537479,3.513357401,3.735426664,4.033358097,4.353498459,|,0,0,0,0,0,0,|,4.746134758,0,5.245420933,0,5.449780941,0,,1,1,1,0
19:17:30,|,2.262517452,3.561835766,3.936136723,4.184102535,4.425755501,4.615314484,|,2.267129898,3.44042182,3.962706089,4.264167786,4.425327301,4.741228104,|,1.931183696,3.164609432,3.648194313,3.877225161,4.139127731,4.473647594,|,0,0,0,0,0,0,|,4.612459183,0,4.925492764,0,5.116767883,0,,1,1,1,0
19:22:30,|,2.186166763,3.379888296,3.746070385,4.016944408,4.262183189,4.460093498,|,2.124256611,3.179908276,3.706560612,4.017303467,4.179900169,4.528481007,|,1.808443308,2.895487785,3.371609211,3.614528179,3.853769779,4.152472019,|,0,0,0,0,0,0,|,4.38407135,0,4.787825584,0,5.009225845,0,,1,1,1,0
19:27:30,|,2.07300663,3.144547701,3.393300772,3.662377834,3.940858841,4.288450718,|,1.926396608,2.90606308,3.332559824,3.621214867,3.765743017,4.241818905,|,1.596556664,2.585845947,3.021945715,3.295124054,3.537695646,3.958734512,|,0,0,0,0,0,0,|,4.034862995,0,4.527574539,0,4.7046175,0,,1,1,1,0
19:32:30,|,2.378003359,3.732160568,3.868302584,4.423427582,4.700199604,4.929076195,|,2.156209946,3.292179108,3.815829754,4.200901031,4.377523899,4.81977272,|,1.772840023,2.799357176,3.363343477,3.59796977,3.881937265,4.286997318,|,0,0,0,0,0,0,|,4.65566349,0,5.095444679,0,5.291621685,0,,1,1,1,0
19:37:30,|,2.19102025,3.402549028,4.124785423,3.982731581,4.251912594,4.521507263,|,1.881883979,2.82656312,3.281318903,3.607583046,3.759698391,4.251959801,|,1.902556658,3.041373491,3.563115597,3.865283251,4.109204769,4.501111507,|,0,0,0,0,0,0,|,4.039512634,0,4.526717663,0,4.725618839,0,,0,1,1,0
19:42:30,|,2.382096767,3.723466396,4.075504303,4.398566723,4.737772465,5.099908352,|,2.04049325,3.140056372,3.715942144,4.108290195,4.243257046,4.690771103,|,1.911223769,3.015179873,3.557245255,3.846234322,4.154195786,4.574734211,|,0,0,0,0,0,0,|,4.488184929,0,5.050951958,0,5.320089817,0,,1,1,1,0
19:47:30,|,2.43903327,3.758448839,4.176675797,4.47100687,4.771130085,5.024544716,|,2.256769896,3.34517312,3.957397699,4.46335125,4.63940382,5.160787582,|,1.815813303,2.848137856,3.366821766,3.641610861,3.896754742,4.358781815,|,0,0,0,0,0,0,|,4.949377537,0,5.555073738,0,5.806367397,0,,1,1,1,0
19:52:30,|,2.683653355,4.246644497,4.702514172,5.055911064,5.388292789,5.720896244,|,2.391356707,3.593585968,4.197087288,4.608397484,4.66008091,5.12292099,|,2.021286726,3.13877368,3.718421221,4.037086487,4.326130867,4.787654877,|,0,0,0,0,0,0,|,4.946297646,0,5.485822678,0,5.753973007,0,,1,1,1,0
19:57:30,|,2.396053314,3.812835932,4.280651093,4.528484344,4.81897068,5.138804436,|,2.275146723,3.486321926,4.096344948,4.568334103,4.671599865,5.202442646,|,2.148546696,3.304599762,3.860563755,4.142914772,4.374988556,4.807069302,|,0,0,0,0,0,0,|,4.945941448,0,5.582221508,0,5.872414112,0,,1,1,1,0
20:02:30,|,2.488196135,3.841552258,4.262551785,4.534410477,4.833837986,5.09185648,|,2.355143309,3.536185026,4.177351475,4.624432564,4.7404809,5.354179382,|,2.105149984,3.359870195,3.985153913,4.313296795,4.63542366,5.052575111,|,0,0,0,0,0,0,|,5.073129654,0,5.681890488,0,5.951896191,0,,1,1,1,0
20:07:30,|,2.301296711,3.590874672,3.911494732,4.183628082,4.455405235,4.771089077,|,2.241863966,3.531805754,4.147889137,4.579854488,4.658221245,5.067730427,|,2.171043634,3.487722397,4.055305004,4.31761837,4.527369976,4.82399559,|,0,0,0,0,0,0,|,4.888774872,0,5.374510288,0,5.567690372,0,,1,1,1,0
20:12:30,|,2.100173235,3.370056629,3.773743153,4.00934267,4.248064041,4.483255863,|,1.946563363,2.977889776,3.49747467,3.878914595,3.928527117,4.250051498,|,1.616440058,2.589034081,3.014039516,3.211407185,3.412134171,3.73705411,|,0,0,0,0,0,0,|,4.11447382,0,4.51778698,0,4.700777054,0,,1,1,1,0
20:17:30,|,2.148849964,3.435740948,3.784872055,4.045017719,4.290919304,4.479443073,|,1.928513288,2.915739536,3.502912045,3.900331736,4.015860558,4.505333424,|,1.861663342,2.944227934,3.427875996,3.660097361,3.847895145,4.173258781,|,0,0,0,0,0,0,|,4.316651344,0,4.824576378,0,5.049180508,0,,1,1,1,0
20:22:30,|,2.120573282,3.403465271,3.774159908,4.08682394,4.347474098,4.633435726,|,2.17329669,3.289369822,3.89770031,4.314547062,4.448771,4.946525097,|,1.976936698,3.00819087,3.539915562,3.788865328,4.077125072,4.536767483,|,0,0,0,0,0,0,|,4.742613316,0,5.190118313,0,5.375696659,0,,1,1,1,0
20:27:30,|,2.328346014,3.750270605,4.182621956,4.475989819,4.72233057,4.959961891,|,2.067336559,3.201465607,3.824262381,4.206494808,4.28546524,4.67554903,|,1.928086638,3.015833139,3.495802164,3.686937332,3.890651941,4.265917301,|,0,0,0,0,0,0,|,4.496731281,0,5.037947655,0,5.300518513,0,,1,1,1,0
20:32:30,|,2.191213369,3.404410124,3.783210278,4.049146652,4.324721813,4.584434986,|,1.92993331,2.863137722,3.305222034,3.859479904,4.017681122,4.538743496,|,1.694995046,2.703327417,3.20764184,3.513613701,3.778613091,4.251974106,|,0,0,0,0,0,0,|,4.323924065,0,4.630479336,0,4.907600403,0,,1,1,1,0
20:37:30,|,2.30401659,3.592768431,4.005774975,4.300609589,4.560968399,4.858911037,|,2.364113331,NaN,NaN,4.694251537,4.797358513,5.396530628,|,2.009409904,3.19047451,3.779402494,4.02483654,4.301925182,4.630591869,|,0,0,0,0,0,0,|,5.166540146,0,NaN,0,NaN,0,,1,0,1,0
20:42:30,|,2.332210064,3.730809689,4.195493698,4.52933836,4.838768482,4.976100922,|,2.133143425,NaN,NaN,4.172321796,4.298702717,4.860006809,|,1.67888999,2.611076593,3.006250381,3.233527422,3.450651884,3.900006771,|,0,0,0,0,0,0,|,4.619655132,0,NaN,0,NaN,0,,1,0,1,0
20:47:30,|,2.243086576,3.671707869,4.040991306,NaN,NaN,NaN,|,1.993453383,NaN,NaN,3.947949409,4.008277416,4.455228329,|,1.823896646,2.8747015,3.400370598,3.728302002,3.972181559,4.315244198,|,0,0,0,0,0,0,|,4.255232334,0,NaN,0,NaN,0,,0,0,1,0
20:52:30,|,2.294748306,3.607577085,4.01117754,NaN,NaN,NaN,|,1.922233343,NaN,NaN,4.050639629,4.173306465,4.590826511,|,1.883933306,3.015357971,3.515575171,3.714841843,3.872906685,4.154285431,|,0,0,0,0,0,0,|,4.397193909,0,NaN,0,NaN,0,,0,0,1,0
20:57:30,|,2.293953419,3.722753525,4.124493599,NaN,NaN,NaN,|,2.120879889,NaN,NaN,4.008469105,4.15588665,4.610052586,|,2.099413157,3.295454979,3.892807007,4.187092304,4.428173542,4.815668583,|,0,0,0,0,0,0,|,4.41535902,0,NaN,0,NaN,0,,0,0,1,0
21:02:30,|,2.46865344,3.969213486,4.336624146,NaN,NaN,NaN,|,2.048712969,NaN,NaN,4.128392696,4.300674438,4.738042831,|,1.870583296,2.896633863,3.410768032,3.626575708,3.904260635,4.343771458,|,0,0,0,0,0,0,|,4.532907486,0,NaN,0,NaN,0,,0,0,1,0
21:07:30,|,2.284373283,3.627403021,4.034874439,NaN,NaN,NaN,|,2.030863285,NaN,NaN,4.052938461,4.211899757,4.698307037,|,1.811523318,2.848857641,3.369734526,3.629556417,3.850641489,4.195373058,|,0,0,0,0,0,0,|,4.488530159,0,NaN,0,NaN,0,,0,0,1,0
21:12:30,|,2.272579908,3.58178544,3.984873295,NaN,NaN,NaN,|,2.122509956,NaN,NaN,4.236590862,4.365913868,4.790797234,|,1.911663294,3.007394552,3.479780912,3.772062778,4.063741684,4.36909008,|,0,0,0,0,0,0,|,4.637465954,0,NaN,0,NaN,0,,0,0,1,0
