CDT_time,bar_fence,dir_0_2m_init,dir_1_5m_init,dir_3m_init,dir_4_5m_init,dir_6m_init,dir_10m_init,bar_fence_1,dir_0_2m_rel,dir_1_5m_rel,dir_3m_rel,dir_4_5m_rel,dir_6m_rel,dir_10m_rel,bar_fence_2,dir_0_2m_uconv,dir_1_5m_uconv,dir_3m_uconv,dir_4_5m_uconv,dir_6m_uconv,dir_10m_uconv,bar_fence_3,dir_0_2m_lconv,dir_1_5m_lconv,dir_3m_lconv,dir_4_5m_lconv,dir_6m_lconv,dir_10m_lconv
19:02:30,|,68.95329285,262.8742371,259.7672424,241.6457977,243.3388367,98.07561493,|,108.4358597,NaN,283.193512,270.8882446,261.5020447,99.28262329,|,117.8297577,269.0397034,266.4497681,218.0741272,136.1156158,99.6960907,|,124.1221924,254.2350616,219.493576,230.0062866,216.2966003,71.55899811
19:07:30,|,56.77384949,277.9520874,273.124115,249.7350311,242.5760193,98.68684387,|,110.9872055,NaN,281.8327637,277.8494568,272.842041,105.1142731,|,117.3349915,282.3965759,286.7373657,250.1820526,145.40448,103.4950943,|,124.4116135,259.8244019,212.421051,226.9898987,213.4717865,81.98312378
19:12:30,|,83.49668884,261.077301,258.2601929,243.7698975,242.5619507,105.0009613,|,107.3229218,NaN,281.3602295,273.3275146,265.2550354,112.8425827,|,126.5891953,274.2890015,280.4946289,250.0347595,168.2906799,117.193924,|,115.8665085,248.632019,227.0735016,229.1076965,229.3117218,92.88221741
19:17:30,|,71.01742554,266.4341125,274.639679,274.9433899,264.6661682,101.4361954,|,114.4763718,NaN,283.4109192,280.9158325,275.3136597,106.3785019,|,129.4136047,300.0161743,298.1677246,288.1839905,260.4737549,102.1271591,|,114.649086,271.0035095,268.6374817,254.3560181,244.1722107,102.8356323
19:22:30,|,78.986763,259.1717224,270.8729858,277.289093,286.6578674,83.5174942,|,109.1457138,NaN,280.3979492,275.6001587,276.4468994,62.84815598,|,128.2826691,301.0006104,296.4644775,285.3681641,295.5173645,74.40304565,|,133.9766998,263.6042175,273.3095398,292.3675232,291.8982544,60.2611618
19:27:30,|,73.27403259,261.3366699,240.6365051,247.7256317,262.2265625,73.86496735,|,108.9594955,NaN,280.7149658,271.2533264,288.6457825,65.69384766,|,106.856926,287.0090942,272.6487122,258.2824707,285.3242493,26.73646355,|,127.5542145,260.5309753,206.2550049,205.9144287,189.6092377,57.38480377
19:32:30,|,74.64827728,267.6584473,258.7939758,240.2855225,245.3186188,69.64998627,|,113.8283005,NaN,283.2662354,279.4993591,302.5358887,61.64632034,|,113.72789,296.9233093,287.9197693,270.099823,297.951355,30.59144974,|,122.2966003,252.8140106,249.3036957,230.190567,143.0490417,59.48952484
19:37:30,|,89.2397995,247.366272,246.4611511,232.1921082,230.8188171,83.61825562,|,110.9652557,NaN,279.0501404,280.4257202,338.3666382,68.84341431,|,107.1392593,264.239563,220.6188049,231.5153503,314.0378723,69.33533478,|,124.8692856,225.9636383,186.1315765,155.6333313,116.1755753,63.87416077
19:42:30,|,89.76047516,264.3698425,251.3698425,238.8502045,229.576767,101.2048111,|,115.2417297,NaN,277.923584,273.7143555,292.2117615,71.80705261,|,118.0582504,284.5414734,271.4339905,188.2850189,149.5102844,94.48926544,|,109.8911667,242.5472717,163.5770874,112.483429,93.73335266,68.33193207
19:47:30,|,91.66830444,251.0110321,259.556366,268.417572,267.5368347,84.16822052,|,109.7660217,NaN,278.3359985,268.981842,269.7097473,58.6078949,|,114.9913025,283.9069214,257.1737061,224.0165405,203.7327271,97.2478714,|,105.6981583,226.4403229,202.5164642,100.9646301,88.96761322,75.49100494
19:52:30,|,88.68211365,272.9411926,257.4160461,239.4660034,237.4981689,94.22853088,|,112.7913742,NaN,280.9483948,268.3988037,267.4953918,78.8844223,|,115.7441711,287.9038696,271.2389526,190.4962158,151.1110687,94.41955566,|,108.9892807,254.7044678,234.5319977,234.2348022,222.3403931,81.98535156
19:57:30,|,74.86646271,269.0921631,279.4938049,281.1402893,266.9926147,86.38606262,|,113.7988968,NaN,280.1399841,276.7538757,272.4691772,67.33782196,|,130.925293,295.7545776,293.8294678,283.6526184,284.9248962,80.10736084,|,114.0312271,276.8431091,280.3914795,280.6086731,284.4795837,58.45178986
20:02:30,|,94.97438812,263.4248962,265.4412231,268.2435303,278.1772156,56.18243027,|,109.2741013,NaN,280.4199829,272.0661926,269.8551025,45.3491745,|,136.8051605,301.5776672,297.6296387,284.86026,293.8798828,18.6067524,|,112.0528641,266.3202515,275.0168762,280.7977295,284.7193909,34.1648941
20:07:30,|,89.32312012,262.1487427,254.6561737,239.5152893,251.6121521,332.2329102,|,115.1364212,NaN,284.7140503,269.7137451,264.9210815,46.89692307,|,129.5564117,301.6951904,298.2427063,285.0241089,291.1982422,12.27438641,|,115.9752045,271.0725403,268.8833008,267.6298828,267.920166,49.8882637
20:12:30,|,85.64519501,270.3330383,264.7037659,241.0442047,241.1123352,71.29689026,|,108.7736282,NaN,287.6169434,278.5481567,271.5927429,51.23365402,|,120.4103165,288.6863403,278.6144104,240.9360046,258.4875488,49.74557114,|,123.637619,257.9454956,245.0593109,249.1984406,242.1504211,59.00869751
20:17:30,|,89.09238434,256.350708,266.4185181,251.1100769,239.3417053,5.868258953,|,117.010994,NaN,280.3652344,274.0941467,273.0998535,36.07847214,|,132.9886475,297.0802002,289.7363281,279.0778503,297.9675293,44.15468597,|,115.8282852,268.3816528,277.426239,282.4668579,265.8434448,39.81667328
20:22:30,|,87.25666046,264.9325562,260.403595,243.6970062,234.2194366,305.2521057,|,107.3864517,NaN,283.162323,273.0271301,264.4377747,355.074585,|,126.3190842,296.945282,294.3773193,276.541748,280.2301025,354.5707397,|,117.2109756,264.2798462,263.6072388,262.5811157,250.69133,49.81869125
20:27:30,|,88.15753937,261.6876526,272.4772949,258.3026428,238.593689,344.0161438,|,110.7338181,NaN,285.0344543,280.1553955,273.1272583,32.89120483,|,133.8575745,298.1397095,297.7999573,287.62854,289.0080872,348.7247009,|,120.1793823,277.2462769,292.4190369,298.8650208,282.1793518,50.55823517
20:32:30,|,98.22226715,251.5643463,248.7585144,253.3223877,243.283844,24.4910965,|,107.5867462,NaN,279.3868408,268.6704407,267.3975525,40.76884079,|,128.1320648,297.2489319,291.0742188,274.9526062,287.5653992,7.831481457,|,118.5159378,264.940918,273.1258545,290.7307739,284.5889282,30.65280533
20:37:30,|,89.95720673,264.6930847,253.5441589,236.0596924,226.9260406,70.69519043,|,110.0405273,NaN,284.9402771,279.9561768,270.341095,79.08893585,|,121.5711517,279.6980896,286.633728,180.2078247,220.5140076,82.2428894,|,119.7416077,254.7554474,245.7156677,241.6906281,233.000412,71.43556976
20:42:30,|,89.60939026,254.3238068,267.3345032,269.1126099,259.4709167,55.5173378,|,117.8324585,NaN,277.4035645,282.5994873,284.1499634,77.8135376,|,132.5720978,302.6250305,296.9676208,279.0131226,298.3407288,78.71021271,|,112.833992,263.5949707,274.3404846,282.9981384,261.0306702,58.27720261
20:47:30,|,92.81182861,263.5562439,248.8046875,243.264267,251.3789978,62.58618546,|,105.2203445,NaN,283.0552979,273.864624,274.1826172,77.21753693,|,130.986908,298.8772278,297.5439453,270.4624329,293.0068054,86.63317871,|,118.9961548,253.760498,246.7416382,261.713501,271.0924377,57.90608978
20:52:30,|,82.32549286,269.2643433,266.8545532,240.7210388,243.2805023,59.40512466,|,110.4275742,NaN,282.8713074,276.0284729,275.311615,74.59120941,|,129.1587067,292.9136963,288.2635803,275.6136475,310.2767029,74.23471069,|,104.2922287,261.6871643,260.4905701,260.5898438,260.0588379,60.93931198
20:57:30,|,98.80590057,252.3045502,246.6782379,236.9143982,237.3470917,81.42556763,|,108.7799683,NaN,280.8477783,276.2782898,286.4218445,85.53369904,|,95.95357513,267.1326904,256.6001587,184.795639,100.0764389,91.58892059,|,106.6042633,257.0467529,202.3825073,185.1816711,133.7430115,82.51002502
21:02:30,|,86.98858643,259.8092651,258.4075012,244.5395508,223.3904724,81.47851563,|,115.3107224,NaN,283.7092896,289.1029053,52.71202469,84.8898468,|,120.4116745,272.5527954,269.7618713,145.2728577,104.4986496,95.87078857,|,108.9105301,248.8650513,220.50914,164.1861115,86.0170517,92.44236755
21:07:30,|,91.36165619,261.9200439,259.9502563,242.1966095,199.1500549,84.88365173,|,106.8821411,NaN,288.0605469,66.20701599,87.48636627,85.70191193,|,114.1651154,264.8630066,186.8930511,128.8829956,98.82407379,93.56548309,|,108.7053757,257.0430298,234.7797089,81.86795044,90.34632111,96.33404541
21:12:30,|,85.72879028,262.6453857,257.6121826,221.6374054,131.7731018,98.43912506,|,111.0727615,NaN,285.6376953,130.1415863,117.1748962,99.68885803,|,121.3040085,247.1797028,157.6743774,133.9111481,113.5475769,105.8598404,|,133.6764984,6.442005634,96.0916214,103.1558228,105.3566742,98.45977783
21:17:30,|,70.21331024,268.5776062,275.0825195,118.455986,94.36812592,92.33665466,|,112.9007416,NaN,294.3396912,96.37323761,100.8121109,98.27770996,|,110.1322021,247.9229279,136.0476532,117.0327148,104.1480637,102.1913528,|,196.4067993,86.45536804,100.6409302,102.1269684,100.8869476,93.35313416
