CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
22:57:30,|,NaN,295.41268349,NaN,-0.013996241,NaN,1.770961523,NaN,-0.790184855,NaN,-0.047735937,NaN,0.004365238
23:02:30,|,NaN,295.51986504,NaN,-0.015321688,NaN,2.554874182,NaN,-1.306146383,NaN,-0.11471682,NaN,0.027042037
23:07:30,|,NaN,295.32310486,NaN,-0.018044559,NaN,2.530216694,NaN,-1.687722325,NaN,-0.111782826,NaN,0.103314832
23:12:30,|,NaN,295.03255463,NaN,-0.026204126,NaN,2.055740356,NaN,-1.954297185,NaN,-0.043038458,NaN,0.115117267
23:17:30,|,NaN,293.72413826,NaN,-0.029792866,NaN,2.214440346,NaN,-3.078451872,NaN,-0.249362886,NaN,0.326820731
23:22:30,|,NaN,293.26115036,NaN,-0.030604139,NaN,2.416187763,NaN,-2.761317253,NaN,-0.13615042,NaN,0.252767652
23:27:30,|,293.14199829,293.1510601,-0.014309933,-0.013326494,1.787509561,2.161048174,-1.983784676,-2.142155409,-0.032882955,-0.031890295,0.141256824,0.173668981
23:32:30,|,293.06041336,293.23470306,-0.014768459,-0.019787069,1.572683692,1.811995864,-1.652010083,-1.853279114,-0.03643889,-0.064304389,0.093956284,0.156908378
23:37:30,|,292.7553196,293.12054825,-0.014019237,-0.019396249,1.335552335,1.495276093,-1.32307291,-1.517834544,-0.032435425,-0.06140599,0.037243422,0.088853352
23:42:30,|,292.57855606,293.07559013,-0.031828366,-0.033292994,1.762903571,2.048255682,-1.794919968,-1.969309211,-0.116036728,-0.144692466,0.132787094,0.211859077
23:47:30,|,292.34122658,292.93484497,-0.023314789,-0.025814513,1.647157192,1.796985745,-1.567615747,-1.748872519,-0.02350739,-0.047793481,0.047059406,0.098189473
23:52:30,|,292.22699547,292.88597679,-0.01625278,-0.029771855,1.630217075,1.864447474,-1.534597039,-1.695593238,-0.035105571,-0.073478624,0.036250416,0.126640692
