,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5,
10/11/2018,23:28:44,,23:28:44,,23:28:44,,23:28:44,,23:28:44,,23:28:44,,23:28:44,,23:28:44,0,
10/11/2018,23:28:45,,23:28:45,,23:28:45,,23:28:45,,23:28:45,,23:28:45,,23:28:45,,23:28:45,0,
10/11/2018,23:28:46,,23:28:46,,23:28:46,,23:28:46,,23:28:46,,23:28:46,,23:28:46,,23:28:46,0,
10/11/2018,23:28:47,,23:28:47,,23:28:47,,23:28:47,,23:28:47,,23:28:47,,23:28:47,,23:28:47,0,
10/11/2018,23:28:48,,23:28:48,,23:28:48,,23:28:48,,23:28:48,,23:28:48,,23:28:48,,23:28:48,0,
10/11/2018,23:28:49,,23:28:49,,23:28:49,,23:28:49,,23:28:49,,23:28:49,,23:28:49,,23:28:49,0,
10/11/2018,23:28:50,,23:28:50,,23:28:50,,23:28:50,,23:28:50,,23:28:50,,23:28:50,,23:28:50,0,
10/11/2018,23:28:51,,23:28:51,,23:28:51,,23:28:51,,23:28:51,,23:28:51,,23:28:51,,23:28:51,0,
10/11/2018,23:28:52,,23:28:52,,23:28:52,,23:28:52,,23:28:52,,23:28:52,,23:28:52,,23:28:52,0,
10/11/2018,23:28:53,,23:28:53,,23:28:53,,23:28:53,,23:28:53,,23:28:53,,23:28:53,,23:28:53,0,
10/11/2018,23:28:54,,23:28:54,,23:28:54,,23:28:54,,23:28:54,,23:28:54,,23:28:54,,23:28:54,0,
10/11/2018,23:28:55,,23:28:55,,23:28:55,,23:28:55,,23:28:55,,23:28:55,,23:28:55,,23:28:55,0,
10/11/2018,23:28:56,,23:28:56,,23:28:56,,23:28:56,,23:28:56,,23:28:56,,23:28:56,,23:28:56,0,
10/11/2018,23:28:57,,23:28:57,,23:28:57,,23:28:57,,23:28:57,,23:28:57,,23:28:57,,23:28:57,0,
10/11/2018,23:28:58,,23:28:58,,23:28:58,,23:28:58,,23:28:58,,23:28:58,,23:28:58,,23:28:58,0,
10/11/2018,23:28:59,,23:28:59,,23:28:59,,23:28:59,,23:28:59,,23:28:59,,23:28:59,,23:28:59,0,
10/11/2018,23:29:00,,23:29:00,,23:29:00,,23:29:00,,23:29:00,,23:29:00,,23:29:00,,23:29:00,0,
10/11/2018,23:29:01,,23:29:01,,23:29:01,,23:29:01,,23:29:01,,23:29:01,,23:29:01,,23:29:01,0,
10/11/2018,23:29:02,,23:29:02,,23:29:02,,23:29:02,,23:29:02,,23:29:02,,23:29:02,,23:29:02,0,
10/11/2018,23:29:03,,23:29:03,,23:29:03,,23:29:03,,23:29:03,,23:29:03,,23:29:03,,23:29:03,0,
10/11/2018,23:29:04,,23:29:04,,23:29:04,,23:29:04,,23:29:04,,23:29:04,,23:29:04,,23:29:04,0,
10/11/2018,23:29:05,,23:29:05,,23:29:05,,23:29:05,,23:29:05,,23:29:05,,23:29:05,,23:29:05,0,
10/11/2018,23:29:06,,23:29:06,,23:29:06,,23:29:06,,23:29:06,,23:29:06,,23:29:06,,23:29:06,0,
