CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
21:57:30,|,276.706899405,275.391649246,-0.004470259,-0.003119371,3.146408081,3.535489798,-1.129542708,-1.120423198,-0.064912252,-0.051014304,0.021820026,0.030892309
22:02:30,|,276.60926199,275.288430452,-0.007322407,-0.00615536,2.805093288,3.264744282,-1.293090463,-1.231324315,-0.074899822,-0.068889499,0.015814934,0.016353412
22:07:30,|,276.613694668,275.288790464,-0.005542852,-0.004552198,2.577106714,3.034309149,-1.281938076,-1.327640414,-0.059638165,-0.060347587,0.018832467,0.003351775
22:12:30,|,276.753901958,275.394124746,-0.003730411,-0.002949417,3.014795065,3.412691116,-1.385701299,-1.420921683,-0.079842679,-0.070963539,0.026148826,0.013259869
22:17:30,|,276.820758581,275.447064638,0.001126348,0.001160082,2.759357452,3.139527082,-1.356401086,-1.380200624,-0.039202329,-0.044596214,0.014116178,0.030744223
22:22:30,|,276.90668273,275.522103548,0.002948618,0.002554025,3.198803902,3.709069967,-1.37657249,-1.388337016,-0.070170231,-0.0513472,0.00907283,0.018943761
22:27:30,|,276.939660788,275.543241739,0.002347037,0.003064344,3.746149063,4.163393974,-1.554687738,-1.54150176,-0.074591935,-0.064612359,0.016182674,0.029658426
22:32:30,|,276.965990782,275.575260639,0.002634002,0.0028996,3.221856356,3.724684954,-1.470720768,-1.514251232,-0.063834824,-0.051476009,0.021480819,0.009937969
22:37:30,|,276.98944664,275.60645318,0.003022367,0.003084017,2.939312696,3.624998569,-1.716683626,-1.839741826,-0.057873264,-0.029791387,0.024118973,0.027354212
22:42:30,|,277.024767876,275.642831326,0.003824037,0.004026505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:47:30,|,277.050459862,275.680221081,0.002612318,0.003004406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:52:30,|,277.046702862,275.685921431,0.003530081,0.003645628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:57:30,|,277.073769093,275.708913565,0.000980494,0.000811395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:02:30,|,277.120223522,275.716732502,8.65e-05,0.000303218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
