,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5
10/17/2018,23:23:46,0,23:23:46,,23:23:46,,23:23:46,,23:23:46,,23:23:46,,23:23:46,,23:23:46,
10/17/2018,23:23:47,0.004,23:23:47,,23:23:47,,23:23:47,,23:23:47,,23:23:47,,23:23:47,,23:23:47,
10/17/2018,23:23:48,0.017,23:23:48,,23:23:48,,23:23:48,,23:23:48,,23:23:48,,23:23:48,,23:23:48,
10/17/2018,23:23:49,0.019,23:23:49,,23:23:49,,23:23:49,,23:23:49,,23:23:49,,23:23:49,,23:23:49,
10/17/2018,23:23:50,0.015,23:23:50,,23:23:50,,23:23:50,,23:23:50,,23:23:50,,23:23:50,,23:23:50,
10/17/2018,23:23:51,0.018,23:23:51,,23:23:51,,23:23:51,,23:23:51,,23:23:51,,23:23:51,,23:23:51,
10/17/2018,23:23:52,0.022,23:23:52,,23:23:52,,23:23:52,,23:23:52,,23:23:52,,23:23:52,,23:23:52,
10/17/2018,23:23:53,0.02,23:23:53,,23:23:53,,23:23:53,,23:23:53,,23:23:53,,23:23:53,,23:23:53,
10/17/2018,23:23:54,0.014,23:23:54,,23:23:54,,23:23:54,,23:23:54,,23:23:54,,23:23:54,,23:23:54,
10/17/2018,23:23:55,0.013,23:23:55,,23:23:55,,23:23:55,,23:23:55,,23:23:55,,23:23:55,,23:23:55,
10/17/2018,23:23:56,0,23:23:56,,23:23:56,,23:23:56,,23:23:56,,23:23:56,,23:23:56,,23:23:56,
10/17/2018,23:23:57,0.037,23:23:57,,23:23:57,,23:23:57,,23:23:57,,23:23:57,,23:23:57,,23:23:57,
10/17/2018,23:23:58,0.046,23:23:58,,23:23:58,,23:23:58,,23:23:58,,23:23:58,,23:23:58,,23:23:58,
10/17/2018,23:23:59,0,23:23:59,,23:23:59,,23:23:59,,23:23:59,,23:23:59,,23:23:59,,23:23:59,
10/17/2018,23:24:00,0,23:24:00,,23:24:00,,23:24:00,,23:24:00,,23:24:00,,23:24:00,,23:24:00,
10/17/2018,23:24:01,0,23:24:01,,23:24:01,,23:24:01,,23:24:01,,23:24:01,,23:24:01,,23:24:01,
10/17/2018,23:24:02,0,23:24:02,,23:24:02,,23:24:02,,23:24:02,,23:24:02,,23:24:02,,23:24:02,
10/17/2018,23:24:03,0,23:24:03,,23:24:03,,23:24:03,,23:24:03,,23:24:03,,23:24:03,,23:24:03,
10/17/2018,23:24:04,0,23:24:04,,23:24:04,,23:24:04,,23:24:04,,23:24:04,,23:24:04,,23:24:04,
10/17/2018,23:24:05,0,23:24:05,,23:24:05,,23:24:05,,23:24:05,,23:24:05,,23:24:05,,23:24:05,
10/17/2018,23:24:06,0.004,23:24:06,,23:24:06,,23:24:06,,23:24:06,,23:24:06,,23:24:06,,23:24:06,
10/17/2018,23:24:07,0.001,23:24:07,,23:24:07,,23:24:07,,23:24:07,,23:24:07,,23:24:07,,23:24:07,
10/17/2018,23:24:08,0,23:24:08,,23:24:08,,23:24:08,,23:24:08,,23:24:08,,23:24:08,,23:24:08,
10/17/2018,23:24:09,0,23:24:09,,23:24:09,,23:24:09,,23:24:09,,23:24:09,,23:24:09,,23:24:09,
10/17/2018,23:24:10,0.001,23:24:10,,23:24:10,,23:24:10,,23:24:10,,23:24:10,,23:24:10,,23:24:10,
10/17/2018,23:24:11,0,23:24:11,,23:24:11,,23:24:11,,23:24:11,,23:24:11,,23:24:11,,23:24:11,
10/17/2018,23:24:12,0,23:24:12,,23:24:12,,23:24:12,,23:24:12,,23:24:12,,23:24:12,,23:24:12,
10/17/2018,23:24:13,0,23:24:13,,23:24:13,,23:24:13,,23:24:13,,23:24:13,,23:24:13,,23:24:13,
