CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv
19:02:30,|,1.798532844,3.509236336,4.081124306,4.281834126,4.635252953,4.835762501,|,1.599400043,2.544447899,3.347618103,3.747318268,3.850785017,4.365246296,|,1.428850055,2.488390207,2.895032167,3.330003738,3.426897764,3.853490114,|,1.373350024,3.274305344,3.946787119,4.160420895,4.36182785,4.835448265,|,4.023572922,4.617864609,4.633308887,5.120881081,4.687646389,4.995490074
19:07:30,|,1.675026655,3.245191336,3.821219444,4.026838303,4.368332863,4.709326744,|,1.374593377,2.259843111,3.299554825,3.841338634,3.90605855,4.415651798,|,1.551033378,2.794127464,3.12376976,3.561344147,3.677125931,3.98184371,|,1.497040033,3.601847649,4.315041065,4.613852024,4.818285942,5.204344749,|,4.093421459,4.988321781,4.620538235,5.493878841,4.654094696,5.293176651
19:12:30,|,1.795823336,3.410013914,4.117899895,4.39748764,4.790949345,5.129052639,|,1.391106725,2.193634987,3.614859343,4.015872002,4.044377327,4.630039215,|,1.738033295,3.034401417,3.3509655,3.778782845,3.860704899,4.281613827,|,1.392866611,3.370037794,4.005073547,4.274733543,4.485246181,4.857837677,|,4.26071167,4.707768917,4.930839062,5.062217712,4.851387024,4.997324944
19:17:30,|,2.111373425,3.987725735,4.672968388,4.938824654,5.312935352,5.656153202,|,1.747460008,2.85201931,2.045542002,4.197570801,4.264966488,4.765131474,|,1.611666679,2.743896008,3.109403372,3.475827932,3.549390316,3.982070684,|,1.46325779,3.472537756,4.222608566,4.492909908,4.717874527,5.139221668,|,4.427165031,4.941233635,5.089632034,5.34879446,5.232107639,5.171943188
19:22:30,|,1.759369731,3.436727047,3.989456177,4.205701828,4.518995762,4.845821381,|,1.48373127,2.519958496,3.072221518,3.568374872,3.596046448,4.108513832,|,1.501540542,2.55062604,2.855906248,3.225392342,3.292946339,3.688441992,|,1.475489974,3.648935795,4.287961006,4.581686497,4.76641798,5.205579281,|,3.769253969,4.993616104,4.316038609,5.349918365,4.300821304,5.09232235
19:27:30,|,1.941183329,3.740226984,4.413892269,4.659285545,4.991373062,5.31669426,|,1.801216722,3.133832216,3.921095371,4.346687317,4.38873148,4.962609768,|,1.442790031,2.475815058,2.749449968,3.05159831,3.177777767,3.423921108,|,1.585473299,3.847724915,4.503096581,4.806206226,5.009032726,5.332087517,|,4.589365482,5.161165714,5.227756023,5.516611099,5.264149666,5.379900455
19:32:30,|,1.858919978,3.577965021,4.157454014,4.413241863,4.806810379,5.169662952,|,1.604723334,2.69032836,3.558450699,4.073654652,4.095866203,4.637988091,|,1.462876678,2.61179328,2.879791498,3.201436043,3.36380291,3.747274399,|,1.144866705,2.912740231,3.431090117,3.648960114,3.749246597,4.033659458,|,4.301575661,3.915278196,4.94043684,4.219446182,4.933282375,4.213320255
19:37:30,|,1.746333361,3.400731087,3.968795061,4.164145947,4.47078228,4.791408539,|,1.199336648,1.932900906,2.957109213,3.516526937,3.563570261,4.172924042,|,1.448786616,2.395870209,2.604183197,3.000476837,3.171708822,3.531711102,|,1.314673305,3.267170429,3.814309597,4.072068691,4.220685005,4.562817097,|,3.854321003,4.391060829,4.462361336,4.682766914,4.556979179,4.582726002
19:42:30,|,1.850280046,3.563598394,4.124620438,4.29897213,4.608253479,4.863997936,|,1.272966623,2.140958309,3.006988764,3.426724911,3.489524126,3.900705814,|,1.646673322,2.835276365,3.155240297,3.572238445,3.719764709,4.077318668,|,1.396946669,3.417160749,4.029155254,4.294713974,4.469453335,4.754232407,|,3.678117037,4.630463123,4.156608105,4.863052368,4.079376221,4.783664227
19:47:30,|,2.026995659,3.90808177,4.516793728,4.737339973,5.118490696,5.42607975,|,1.496822238,2.349014521,3.205222607,3.692031622,3.676682234,4.120054245,|,1.532991052,2.810055971,3.161802292,3.60012126,3.762243032,4.16079092,|,1.342630863,3.311507702,3.814921618,4.070599079,4.228115559,4.560562134,|,3.839734077,4.426084042,4.522586346,4.680061817,4.359266281,4.613506794
19:52:30,|,1.623344302,3.111276388,3.642634392,3.79484129,4.070065022,4.378052235,|,1.051343322,1.654910564,2.576216698,3.025577068,3.027621031,3.586156845,|,1.507276654,2.680548668,2.962943792,3.337434769,3.500869751,3.839044333,|,1.11220336,2.832752705,3.339207172,3.56014657,3.717592239,3.970046997,|,3.2961936,3.870571375,3.835469484,4.112655163,3.617343426,4.080916882
19:57:30,|,1.586953282,3.043328762,3.831377506,3.716938972,4.042673111,4.363284588,|,1.179730058,1.913223267,2.758401394,3.239268064,3.273995399,3.872563362,|,1.422510028,2.543645382,2.802171707,3.174140453,3.353767395,3.739756107,|,1.129696608,2.929017067,3.424610138,3.609085083,3.720856667,3.952764988,|,3.49140954,3.8282125,4.244585037,4.079713821,4.245210171,3.946149826
20:02:30,|,1.677866697,3.246367216,3.475744724,3.938648939,4.219394207,4.413486481,|,1.231976628,1.916279793,2.735804319,3.131014824,3.167367697,3.578382254,|,1.365939975,2.417919159,2.664808035,2.959096193,3.134322643,3.57257843,|,1.138659954,2.843970537,3.420393229,3.668849945,3.754743814,4.090230465,|,3.365088463,3.919565916,3.792971134,4.282581329,3.713718176,4.195598125
