CDT_Time,bar_fence,R_Bulk_uconv_6_10,L_uconv_6,L_uconv_10,Term_3_uconv_6,Term_3_uconv_10
23:57:30,|,-1.21524462176698,68.5289807637136,74.5792075031703,0.0875541987219665,0.134085629692095
00:02:30,|,-3.4874935407342,87.5157676158325,112.389743158941,0.0685590741355109,0.0889760908685241
00:07:30,|,-2.4498543797724,101.308774246157,196.618621715085,0.0592248800229423,0.0508598825114883
00:12:30,|,-1.48729633048898,92.5832716601157,145.419245663635,0.0648065238181118,0.0687666887169165
00:17:30,|,-1.33736416521922,85.8726414157549,133.81854185398,0.0698709146601282,0.0747280598148481
00:22:30,|,-1.60230070240637,68.2488416041899,76.1146634313999,0.0879135800545463,0.131380729404561
00:27:30,|,-1.18422878270775,57.504173289833,55.0584436672554,0.10434025318056,0.181625184693465
00:32:30,|,-1.19426467807723,79.8734703321626,87.6125508513287,0.0751188094751404,0.114138897941337
00:37:30,|,-2.16082216620034,63.7038404026359,82.3831710530494,0.0941858444024316,0.121384014139983
00:42:30,|,-6.02446002162061,50.2722387652201,70.45811888951,0.119350165168116,0.141928285307782
00:47:30,|,-2.09847704723794,35.118614945966,74.9213769192441,0.170849562524937,0.133473254379438
00:52:30,|,-2.63460025449594,38.9588615181273,51.9529228934878,0.154008607187052,0.192481951795122
00:57:30,|,-2.94860109464547,28.2645944551501,87.0064403802914,0.212279713035357,0.11493402047356
01:02:30,|,-2.33887196696765,39.0887523627076,48.1862766127752,0.153496840838652,0.207527966527897
01:07:30,|,-1.05633854666231,25.0473424372668,52.521080804016,0.239546371637131,0.19039973753235
01:12:30,|,-4.39304000997179,27.0035677825661,46.5290753035542,0.222192861636369,0.214919379651547
01:17:30,|,-0.563175151582913,78.0080271397849,45.4340440256912,0.0769151614262519,0.220099271690308
01:22:30,|,NaN,NaN,NaN,NaN,NaN
01:27:30,|,NaN,NaN,NaN,NaN,NaN
01:32:30,|,NaN,NaN,NaN,NaN,NaN
01:37:30,|,NaN,NaN,NaN,NaN,NaN
01:42:30,|,NaN,NaN,NaN,NaN,NaN
01:47:30,|,NaN,NaN,NaN,NaN,NaN
01:52:30,|,NaN,NaN,NaN,NaN,NaN
01:57:30,|,NaN,NaN,NaN,NaN,NaN
02:02:30,|,NaN,NaN,NaN,NaN,NaN
02:07:30,|,NaN,NaN,NaN,NaN,NaN
02:12:30,|,NaN,NaN,NaN,NaN,NaN
02:17:30,|,NaN,NaN,NaN,NaN,NaN
02:22:30,|,NaN,NaN,NaN,NaN,NaN
02:27:30,|,NaN,NaN,NaN,NaN,NaN
02:32:30,|,NaN,NaN,NaN,NaN,NaN
02:37:30,|,NaN,NaN,NaN,NaN,NaN
02:42:30,|,NaN,NaN,NaN,NaN,NaN
02:47:30,|,NaN,NaN,NaN,NaN,NaN
02:52:30,|,NaN,NaN,NaN,NaN,NaN
02:57:30,|,NaN,NaN,NaN,NaN,NaN
03:02:30,|,NaN,NaN,NaN,NaN,NaN
03:07:30,|,NaN,NaN,NaN,NaN,NaN
03:12:30,|,NaN,NaN,NaN,NaN,NaN
03:17:30,|,NaN,NaN,NaN,NaN,NaN
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
04:02:30,|,NaN,NaN,NaN,NaN,NaN
04:07:30,|,NaN,NaN,NaN,NaN,NaN
04:12:30,|,NaN,NaN,NaN,NaN,NaN
04:17:30,|,NaN,NaN,NaN,NaN,NaN
04:22:30,|,NaN,NaN,NaN,NaN,NaN
04:27:30,|,NaN,NaN,NaN,NaN,NaN
04:32:30,|,NaN,NaN,NaN,NaN,NaN
04:37:30,|,NaN,NaN,NaN,NaN,NaN
04:42:30,|,NaN,NaN,NaN,NaN,NaN
04:47:30,|,NaN,NaN,NaN,NaN,NaN
04:52:30,|,NaN,NaN,NaN,NaN,NaN
04:57:30,|,NaN,NaN,NaN,NaN,NaN
05:02:30,|,NaN,NaN,NaN,NaN,NaN
05:07:30,|,NaN,NaN,NaN,NaN,NaN
05:12:30,|,NaN,NaN,NaN,NaN,NaN
05:17:30,|,NaN,NaN,NaN,NaN,NaN
05:22:30,|,NaN,NaN,NaN,NaN,NaN
05:27:30,|,NaN,NaN,NaN,NaN,NaN
05:32:30,|,NaN,NaN,NaN,NaN,NaN
05:37:30,|,NaN,NaN,NaN,NaN,NaN
05:42:30,|,NaN,NaN,NaN,NaN,NaN
05:47:30,|,NaN,NaN,NaN,NaN,NaN
05:52:30,|,NaN,NaN,NaN,NaN,NaN
05:57:30,|,NaN,NaN,NaN,NaN,NaN
