CDT_time,bar_fence,dir_0_2m_init,dir_1_5m_init,dir_3m_init,dir_4_5m_init,dir_6m_init,dir_10m_init,bar_fence_1,dir_0_2m_rel,dir_1_5m_rel,dir_3m_rel,dir_4_5m_rel,dir_6m_rel,dir_10m_rel,bar_fence_2,dir_0_2m_uconv,dir_1_5m_uconv,dir_3m_uconv,dir_4_5m_uconv,dir_6m_uconv,dir_10m_uconv,bar_fence_3,dir_0_2m_lconv,dir_1_5m_lconv,dir_3m_lconv,dir_4_5m_lconv,dir_6m_lconv,dir_10m_lconv
20:57:30,|,57.6718483,230.8505554,228.2251892,225.5837555,225.2597046,223.5771484,|,41.22436142,224.3241119,224.3295135,221.1352081,217.8027802,222.4639435,|,41.27425003,225.0730438,222.358139,215.829361,222.1528168,220.1624146,|,68.04157257,NaN,NaN,NaN,NaN,NaN
21:02:30,|,55.30804825,228.6038818,227.1240387,224.4275513,224.4207916,224.5558777,|,41.76033401,226.9197388,226.9949646,223.5311737,220.5079041,225.6040192,|,31.48907089,220.105484,218.8866119,215.4780884,220.2454834,217.683075,|,72.57200623,NaN,NaN,NaN,NaN,NaN
21:07:30,|,57.16321945,230.4574432,228.8575439,226.7164154,226.6700134,225.4861908,|,38.93830872,224.1088867,224.4169617,221.0596008,218.0298004,222.8553314,|,38.02575302,224.841568,222.2514954,213.623291,221.2351837,219.1664124,|,72.30904388,NaN,NaN,NaN,NaN,NaN
21:12:30,|,45.02937698,217.361969,216.8202972,214.3238678,215.2118988,216.9192963,|,31.52378464,217.0162201,219.1058502,216.0196075,212.8245697,218.022171,|,37.57825089,221.9602356,220.2450256,223.769104,219.2337341,217.8087921,|,79.96230316,NaN,NaN,NaN,NaN,NaN
21:17:30,|,51.56007385,227.7161865,226.5732117,224.4588776,224.2606506,224.4100037,|,37.57666397,221.6946869,222.3099213,219.3318939,216.1584473,220.0197906,|,42.13921356,227.1221466,224.4342194,203.1352386,221.8332062,219.9572601,|,70.01034546,NaN,NaN,NaN,NaN,NaN
21:22:30,|,51.31456375,226.2736206,224.9169464,222.2187653,222.0025024,221.4538879,|,39.4051857,222.147171,222.3774414,219.2464142,215.6629333,220.5330658,|,44.87181473,228.7358856,224.2290344,NaN,221.7717133,220.1220551,|,69.81962585,NaN,NaN,NaN,NaN,NaN
21:27:30,|,53.43263245,226.7427216,225.4197693,223.3648071,223.569931,222.193222,|,41.26078033,226.5743713,226.6048584,222.2480316,219.1368561,224.8895264,|,30.23165131,217.9186707,216.1586761,224.2238159,215.7800446,215.0141907,|,51.62588882,NaN,NaN,NaN,NaN,NaN
21:32:30,|,51.34874725,223.1307983,221.762619,218.9113312,219.0764465,219.2232056,|,42.63845062,223.7945557,223.6123505,219.4734497,215.9949036,220.6340637,|,33.51491547,219.2113495,218.4328308,219.7813873,218.9627991,218.0525818,|,67.51222229,NaN,NaN,NaN,NaN,NaN
21:37:30,|,43.93972778,217.4039307,216.3997192,213.9143829,214.4264832,215.5542297,|,29.62889481,215.7064056,217.5175018,214.7436066,211.2175446,214.8595886,|,27.33698273,212.9051819,212.4495087,NaN,212.0321503,210.4821014,|,55.4746666,NaN,NaN,NaN,NaN,NaN
21:42:30,|,42.75204849,219.6677246,220.5746918,219.1062927,219.9226837,219.5083008,|,36.62966156,221.1339111,222.1391602,219.2350769,215.012085,219.0948792,|,32.35277939,218.2700806,217.8734131,208.1266785,217.8709412,217.3648376,|,44.55433273,NaN,NaN,NaN,NaN,NaN
21:47:30,|,56.49410629,229.5140991,228.4457397,225.5510712,225.4770508,225.2712555,|,35.79588318,221.9814453,222.5622864,219.6563263,216.7824249,221.4615936,|,31.66025925,216.4116364,215.9853363,208.678421,216.568512,216.2679749,|,50.81418991,NaN,NaN,NaN,NaN,NaN
21:52:30,|,58.82957077,232.5219421,231.7212219,229.522522,229.1808167,229.2295685,|,44.68328094,228.2057495,228.235199,225.0471649,221.9959412,226.5801392,|,42.44910049,228.2048492,227.0802612,217.9032593,226.845047,224.838089,|,71.10046387,NaN,NaN,NaN,NaN,NaN
21:57:30,|,62.61760712,235.8834839,234.8113403,229.9460449,229.6124573,226.4925232,|,52.57446289,236.3785706,236.0581665,232.4229736,229.6472626,234.37117,|,49.14925003,232.8027496,230.9881134,221.770813,230.5143585,228.97258,|,79.71208191,NaN,NaN,NaN,NaN,NaN
22:02:30,|,64.06282806,238.2596588,237.1320648,NaN,NaN,NaN,|,48.82927322,232.7409515,233.7067719,229.7912445,227.2653198,232.23909,|,46.03909302,230.5821533,228.8367157,228.3602905,228.9763184,229.045639,|,83.22353363,NaN,NaN,NaN,NaN,NaN
22:07:30,|,66.07824707,239.3104858,239.2057343,NaN,NaN,NaN,|,54.18545151,237.300827,237.7567749,232.9764404,230.6885986,235.3160095,|,53.27574539,237.1698761,235.566925,229.189682,234.5312958,234.1213226,|,79.7328186,NaN,NaN,NaN,NaN,NaN
22:12:30,|,66.30932617,237.4810333,236.2569122,NaN,NaN,NaN,|,49.3771553,235.3468933,232.0321045,230.5798492,227.3863983,231.8464203,|,57.08493805,238.3929749,235.7624969,229.5358887,233.5030518,233.1805115,|,80.7861557,NaN,NaN,NaN,NaN,NaN
22:17:30,|,59.30063248,234.3310852,233.8160858,NaN,NaN,NaN,|,47.71412277,233.0979309,234.2059631,231.3052216,229.0157013,233.1677094,|,45.21907043,229.4868469,227.9274139,225.164093,227.1741028,226.8150024,|,71.75888824,NaN,NaN,NaN,NaN,NaN
22:22:30,|,54.82824326,228.7729187,228.7132263,NaN,NaN,NaN,|,46.82397842,232.1348724,231.5060883,227.8119202,224.1560669,227.6818085,|,45.65739059,228.9709473,226.5993195,232.6179962,225.1769104,226.1486511,|,64.1267395,NaN,NaN,NaN,NaN,NaN
22:27:30,|,51.41374588,225.4362793,225.1507263,NaN,NaN,NaN,|,37.25563431,223.2776794,223.4988861,220.5484009,216.7357635,220.2640839,|,32.62389374,221.6381836,221.4005737,235.9651489,221.3072205,221.622757,|,59.0955658,NaN,NaN,NaN,NaN,NaN
22:32:30,|,48.19956207,221.8137054,221.6840973,NaN,NaN,NaN,|,43.49601746,228.2958221,227.1969757,223.2560577,219.7255554,223.7294006,|,34.07403183,221.1005859,218.9680481,224.5770111,217.5227356,216.6460114,|,63.71457672,NaN,NaN,NaN,NaN,NaN
22:37:30,|,51.97668076,227.1325836,226.8599091,NaN,NaN,NaN,|,45.75814438,228.7665253,228.6420898,225.7363586,223.0047607,228.6947174,|,33.8128624,221.4905853,221.0082092,227.6032257,220.4356079,219.4998016,|,75.66656494,NaN,NaN,NaN,NaN,NaN
22:42:30,|,58.58470535,230.8908234,230.4052277,NaN,NaN,NaN,|,37.66836929,224.9597168,225.989212,222.6554108,219.2846527,224.034668,|,44.73170853,230.1098022,228.2523346,231.5240631,227.1492615,225.1869965,|,60.53551865,NaN,NaN,NaN,NaN,NaN
22:47:30,|,45.65031433,221.2646179,221.7239227,NaN,NaN,NaN,|,37.53649139,221.6828308,222.1928253,218.7180634,215.8210754,220.7212372,|,37.09514236,223.3174438,222.241333,242.7565155,222.5372314,222.7628021,|,55.11303711,NaN,NaN,NaN,NaN,NaN
22:52:30,|,49.27413559,222.7587585,222.1070557,NaN,NaN,NaN,|,40.24299622,224.7701569,224.6213531,221.6836853,218.5083313,223.2652435,|,36.21695709,218.9176483,217.0467224,347.140625,218.015564,217.4223785,|,38.58259583,NaN,NaN,NaN,NaN,NaN
22:57:30,|,52.28850174,225.1894226,225.2681122,NaN,NaN,NaN,|,NaN,219.2525177,220.5411072,NaN,NaN,NaN,|,30.30985451,218.5517273,217.9430389,214.9402618,217.2790527,217.0015564,|,58.265625,NaN,NaN,NaN,NaN,NaN
23:02:30,|,56.73656082,231.2197418,229.5328369,NaN,NaN,NaN,|,NaN,227.2888336,227.0328217,NaN,NaN,NaN,|,32.05563736,219.6141815,219.4088287,217.2170105,219.0957947,217.8973083,|,68.38533783,NaN,NaN,NaN,NaN,NaN
23:07:30,|,64.03934479,235.7236786,234.5122681,NaN,NaN,NaN,|,NaN,231.6916809,231.5697174,NaN,NaN,NaN,|,46.93057251,228.6663971,226.8673401,225.4633942,226.9441833,225.6123505,|,60.04211426,NaN,NaN,NaN,NaN,NaN
