CDT_Time,bar_fence,R_Bulk_Init_3_4_5,L_Init_3,L_Init_4_5,Term_3_Init_3,Term_3_Init_4_5
20:57:30,|,-0.144037586590361,42.7009701378277,39.0936585464036,0.0702560150347117,0.11510818294631
21:02:30,|,-0.149111919335777,62.0523658451744,60.0146327936003,0.048346263017356,0.0749817134677171
21:07:30,|,-0.139020681241962,93.1965274758137,62.2953089521813,0.0321900405653908,0.0722365788964023
21:12:30,|,-0.217324962681442,17.8048224242673,46.3958455286127,0.168493677078807,0.0969914428485804
21:17:30,|,-0.139617791638836,54.8948801726442,52.3546418674937,0.0546499052473566,0.0859522640110731
21:22:30,|,-0.109448305233049,75.9480353789077,96.7144084026858,0.0395006926121641,0.0465287445202946
21:27:30,|,-0.152747445592881,116.322992187929,133.153336038994,0.02579025817315,0.0337956234058018
21:32:30,|,-0.133025847696415,82.5020637826487,150.163675675845,0.0363627267301274,0.029967300545533
21:37:30,|,-0.119313440469413,122.706523751287,165.266015655563,0.0244485778611142,0.0272288285171624
21:42:30,|,-0.160412548865698,162.979880552584,218.388448536131,0.0184071800140514,0.020605485455681
21:47:30,|,-0.157305424704486,76.29042011001,69.6919627766784,0.0393234169594823,0.0645698559878395
21:52:30,|,-0.154816878995081,92.1220528471129,105.726331959253,0.0325654922712029,0.0425627175047964
21:57:30,|,-0.123492251749383,131.399161674289,138.264291669208,0.0228311958902475,0.0325463642540915
22:02:30,|,NaN,165.450749079923,NaN,0.0181322841793289,NaN
22:07:30,|,NaN,111.528755511006,NaN,0.0268988924538296,NaN
22:12:30,|,NaN,132.698563991406,NaN,0.0226076297268317,NaN
22:17:30,|,NaN,135.080954844671,NaN,0.0222089043081587,NaN
22:22:30,|,NaN,158.410582983588,NaN,0.0189381286495917,NaN
22:27:30,|,NaN,104.119032134444,NaN,0.0288131760207513,NaN
22:32:30,|,NaN,230.299706102912,NaN,0.0130265038143792,NaN
22:37:30,|,NaN,101.305613884844,NaN,0.029613363810323,NaN
22:42:30,|,NaN,172.392694130987,NaN,0.0174021295689048,NaN
22:47:30,|,NaN,108.576855643653,NaN,0.0276301978190078,NaN
22:52:30,|,NaN,75.1065493687819,NaN,0.0399432542862494,NaN
22:57:30,|,NaN,78.9705168003885,NaN,0.0379888611794578,NaN
23:02:30,|,NaN,102.807138473627,NaN,0.0291808530471799,NaN
23:07:30,|,NaN,205.810711479613,NaN,0.0145765007974192,NaN
23:12:30,|,NaN,181.097899480738,NaN,0.0165656256014117,NaN
23:17:30,|,NaN,245.315136456205,NaN,0.0122291679320635,NaN
23:22:30,|,NaN,204.222414817729,NaN,0.0146898664511314,NaN
23:27:30,|,NaN,114.000033101774,NaN,0.0263157818324644,NaN
23:32:30,|,NaN,160.857451058021,NaN,0.0186500530766082,NaN
23:37:30,|,NaN,181.178307072178,NaN,0.0165582737165375,NaN
23:42:30,|,NaN,126.263470336911,NaN,0.0237598411638383,NaN
23:47:30,|,NaN,149.524427739821,NaN,0.0200636113131971,NaN
23:52:30,|,NaN,164.17589128879,NaN,0.0182730848996757,NaN
23:57:30,|,NaN,138.735768461551,NaN,0.0216238395712019,NaN
