CDT_Time,bar_fence,R_Bulk_Rel_8_5_10,L_Rel_8_5,L_Rel_10,Term_3_Rel_8_5,Term_3_Rel_10
20:57:30,|,0.454431140141797,175.503161340673,177.447505959985,0.0484321760079322,0.0563546945667135
21:02:30,|,0.938696984308687,121.757422287101,133.99326197216,0.069810939163587,0.0746306183819732
21:07:30,|,0.375952490399107,182.190912762532,126.371098173086,0.0466543576247346,0.0791320178788298
21:12:30,|,0.864356105590521,140.847180376717,169.541707821305,0.0603490959298262,0.0589825366778768
21:17:30,|,0.435980604443304,279.054614009481,340.314843867287,0.0304599873045325,0.0293845542743934
21:22:30,|,0.378941917807903,293.740906815501,241.221963247723,0.0289370659747396,0.0414555949440246
21:27:30,|,0.426070251803414,162.518949113802,86.6683124565886,0.0523015934224875,0.115382424285796
21:32:30,|,0.517451705531257,185.797411142564,268.221902050465,0.0457487536975305,0.0372825631447447
21:37:30,|,0.318644218421212,322.78445505829,334.998992803455,0.0263333623004399,0.0298508360168923
21:42:30,|,0.359506004923078,424.274479936852,481.078229370573,0.0200342005045062,0.0207866400711661
21:47:30,|,0.466493373190185,335.678037080703,376.164739510497,0.0253218830577124,0.0265840972043605
21:52:30,|,0.51287088141981,297.547003800449,177.11756289922,0.0285669151140254,0.0564596747849903
21:57:30,|,0.442295299720076,300.461017017972,303.843526316132,0.0282898596442266,0.0329116770110007
22:02:30,|,0.71787127810541,206.029457301959,188.220520738103,0.0412562364203207,0.0531291697673836
22:07:30,|,0.494884286106221,343.600424010022,346.797051101185,0.0247380369930861,0.0288353086286259
22:12:30,|,0.596881901455562,259.073177543978,245.513315792878,0.0328092629294174,0.0407309883282921
22:17:30,|,0.70503956346873,166.868150336785,129.616749714404,0.0509384204405977,0.0771505227683451
22:22:30,|,0.650176416648549,94.8139409716744,57.768019064638,0.0896492637357978,0.173106160846727
22:27:30,|,1.43918598263676,318.522622972456,361.401934154981,0.0266857026376272,0.0276700234695249
22:32:30,|,0.913369681285057,217.175228397766,276.607898379015,0.0391389020870828,0.036152257613041
22:37:30,|,1.13429950677721,268.074971481416,251.379905893856,0.0317075479035881,0.0397804270171954
22:42:30,|,0.522548831170362,754.90332892755,618.90998484668,0.0112597198532367,0.0161574384722154
22:47:30,|,0.47772254193422,370.579584380711,486.30154035878,0.0229370433727607,0.0205633730722347
22:52:30,|,0.595968565445123,384.696945895251,520.366750338799,0.0220953144824666,0.0192172155378668
22:57:30,|,NaN,NaN,NaN,NaN,NaN
23:02:30,|,NaN,NaN,NaN,NaN,NaN
23:07:30,|,NaN,NaN,NaN,NaN,NaN
23:12:30,|,NaN,NaN,NaN,NaN,NaN
23:17:30,|,NaN,NaN,NaN,NaN,NaN
23:22:30,|,NaN,NaN,NaN,NaN,NaN
23:27:30,|,NaN,NaN,NaN,NaN,NaN
23:32:30,|,NaN,NaN,NaN,NaN,NaN
23:37:30,|,NaN,NaN,NaN,NaN,NaN
23:42:30,|,NaN,NaN,NaN,NaN,NaN
23:47:30,|,NaN,NaN,NaN,NaN,NaN
23:52:30,|,NaN,NaN,NaN,NaN,NaN
23:57:30,|,NaN,NaN,NaN,NaN,NaN
00:02:30,|,NaN,NaN,NaN,NaN,NaN
00:07:30,|,NaN,NaN,NaN,NaN,NaN
00:12:30,|,NaN,NaN,NaN,NaN,NaN
00:17:30,|,NaN,NaN,NaN,NaN,NaN
00:22:30,|,NaN,NaN,NaN,NaN,NaN
00:27:30,|,NaN,NaN,NaN,NaN,NaN
00:32:30,|,NaN,NaN,NaN,NaN,NaN
00:37:30,|,NaN,NaN,NaN,NaN,NaN
00:42:30,|,NaN,NaN,NaN,NaN,NaN
00:47:30,|,NaN,NaN,NaN,NaN,NaN
00:52:30,|,NaN,NaN,NaN,NaN,NaN
00:57:30,|,NaN,NaN,NaN,NaN,NaN
01:02:30,|,NaN,NaN,NaN,NaN,NaN
01:07:30,|,NaN,NaN,NaN,NaN,NaN
01:12:30,|,NaN,NaN,NaN,NaN,NaN
01:17:30,|,NaN,NaN,NaN,NaN,NaN
01:22:30,|,NaN,NaN,NaN,NaN,NaN
01:27:30,|,NaN,NaN,NaN,NaN,NaN
01:32:30,|,NaN,NaN,NaN,NaN,NaN
01:37:30,|,NaN,NaN,NaN,NaN,NaN
01:42:30,|,NaN,NaN,NaN,NaN,NaN
01:47:30,|,NaN,NaN,NaN,NaN,NaN
01:52:30,|,NaN,NaN,NaN,NaN,NaN
01:57:30,|,NaN,NaN,NaN,NaN,NaN
02:02:30,|,NaN,NaN,NaN,NaN,NaN
02:07:30,|,NaN,NaN,NaN,NaN,NaN
02:12:30,|,NaN,NaN,NaN,NaN,NaN
02:17:30,|,NaN,NaN,NaN,NaN,NaN
02:22:30,|,NaN,NaN,NaN,NaN,NaN
