CDT_Time,bar_fence,R_Bulk_lconv_1_5_3,L_lconv_1_5,L_high_lconv_3,Term_3_lconv_1_5,Term_3_lconv_3
23:57:30,|,-0.0965256488840936,374.232439627687,269.452049593565,0.00400820410302299,0.0111337063664022
00:02:30,|,-0.0759596355108021,558.232245879366,387.27394432387,0.00268705366103869,0.00774645452907401
00:07:30,|,-0.133488516896086,267.069808012237,238.144049052911,0.00561650907365489,0.0125974174535575
00:12:30,|,-0.0891769535066016,481.720637550849,481.598382820054,0.00311383794480191,0.00622925679781805
00:17:30,|,-0.0868568020408404,384.266355195491,306.12974175244,0.00390354237293788,0.00979976653959362
00:22:30,|,-0.139908885993217,295.510969452688,275.699369333614,0.00507595370411505,0.0108814177096278
00:27:30,|,-0.166044219949218,191.183282217993,179.654329678454,0.0078458742971556,0.0166987347611906
00:32:30,|,-0.109033521425408,356.170556775178,284.408147475705,0.00421146546638,0.0105482210218899
00:37:30,|,-0.14436329913455,256.519367222752,286.827590914118,0.00584751169566645,0.0104592448391698
00:42:30,|,-0.0912449979444668,333.899791980616,384.324043321478,0.00449236578166866,0.0078059128803726
00:47:30,|,-0.101685365245558,406.766792703917,339.181635571257,0.00368761665628846,0.00884481848478423
00:52:30,|,-0.0568825469590063,521.699371584654,571.894356415741,0.00287521910452714,0.00524572408582948
00:57:30,|,-0.0718439880869083,413.751885443134,411.318387914342,0.00362536112287072,0.007293619950258
01:02:30,|,-0.112050814832002,339.017697307438,342.883556516258,0.00442454777999311,0.00874932595333644
01:07:30,|,-0.131668151314696,337.003692690515,289.366336625501,0.00445098980377499,0.010367481010352
01:12:30,|,-0.0393915419586125,288.092069844657,304.666052271525,0.0052066688292004,0.00984684699077118
01:17:30,|,-0.0717431453098075,281.136864559491,289.070075721953,0.00533547957984922,0.0103781063899731
01:22:30,|,-0.0714548255867442,317.017606931224,254.097823031185,0.00473159839455043,0.011806476593197
01:27:30,|,-0.0442173107327203,207.49522040702,150.322357384093,0.00722908217865269,0.0199571111856276
01:32:30,|,-0.0490707226558107,269.750445324508,266.901852115233,0.00556069517585229,0.01124008685674
01:37:30,|,-0.0689819181972137,232.216010590115,100.002718587215,0.00645950292655598,0.0299991844460069
01:42:30,|,-0.0573503297684129,343.73584849114,236.793272204698,0.00436381601332648,0.0126692788695729
01:47:30,|,-0.077530170886087,333.773625827494,368.100348738639,0.00449406389219995,0.00814995152892419
01:52:30,|,-0.0484267791273855,205.420036560296,243.660707585554,0.00730211144500362,0.0123122026104543
01:57:30,|,-0.0888811472000589,82.8151957684446,66.7759316617991,0.0181126179329947,0.0449263668112358
02:02:30,|,-0.0948237924433323,205.552907732695,127.529238630847,0.00729739129718677,0.023524017176045
02:07:30,|,-0.0872236047543265,201.995961098538,156.156718587636,0.00742589105169419,0.0192114692671157
02:12:30,|,-0.0857148085991815,161.762012272996,94.3643686083546,0.00927288167921985,0.031791660816924
02:17:30,|,-0.0731259732037933,166.574665870069,152.594913613818,0.00900497078691443,0.0196598951364283
02:22:30,|,-0.12150558612171,277.129157505045,275.057264674802,0.00541263868985959,0.0109068197255102
02:27:30,|,-0.0519550504445125,267.173213951817,263.120298011926,0.00561433527640431,0.0114016289228436
02:32:30,|,-0.0746253730352284,229.378558841456,194.711031741103,0.00653940807535015,0.0154074475039963
02:37:30,|,-0.0939157430179379,261.529232385151,220.007230691212,0.00573549651149883,0.0136359154677539
02:42:30,|,-0.0851724650607779,179.225127771883,143.16679281847,0.00836936214607805,0.0209545799059974
02:47:30,|,-0.0677698294512209,262.353353026015,209.501436473822,0.00571747981376574,0.0143197108835808
02:52:30,|,-0.21203639597916,334.706298625016,271.456970548185,0.00448154099926428,0.0110514752814848
02:57:30,|,-0.25214205087879,252.812239368479,115.922900222645,0.00593325704383212,0.0258792697063143
03:02:30,|,-0.0585730849595415,358.583736710289,359.429532350501,0.00418312334452551,0.00834655956170714
03:07:30,|,-0.0541479893758764,271.068760155993,250.245467808656,0.00553365131096917,0.01198822910269
03:12:30,|,-0.077579057237875,260.514286364546,230.698293301409,0.00575784161756489,0.0130039973727958
03:17:30,|,-0.0970611593519124,127.146338554983,140.321626613453,0.0117974297730276,0.0213794557004684
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
04:02:30,|,NaN,NaN,NaN,NaN,NaN
04:07:30,|,NaN,NaN,NaN,NaN,NaN
04:12:30,|,NaN,NaN,NaN,NaN,NaN
04:17:30,|,NaN,NaN,NaN,NaN,NaN
04:22:30,|,NaN,NaN,NaN,NaN,NaN
04:27:30,|,NaN,NaN,NaN,NaN,NaN
04:32:30,|,NaN,NaN,NaN,NaN,NaN
04:37:30,|,NaN,NaN,NaN,NaN,NaN
04:42:30,|,NaN,NaN,NaN,NaN,NaN
04:47:30,|,NaN,NaN,NaN,NaN,NaN
04:52:30,|,NaN,NaN,NaN,NaN,NaN
04:57:30,|,NaN,NaN,NaN,NaN,NaN
05:02:30,|,NaN,NaN,NaN,NaN,NaN
05:07:30,|,NaN,NaN,NaN,NaN,NaN
05:12:30,|,NaN,NaN,NaN,NaN,NaN
05:17:30,|,NaN,NaN,NaN,NaN,NaN
05:22:30,|,NaN,NaN,NaN,NaN,NaN
05:27:30,|,NaN,NaN,NaN,NaN,NaN
05:32:30,|,NaN,NaN,NaN,NaN,NaN
05:37:30,|,NaN,NaN,NaN,NaN,NaN
05:42:30,|,NaN,NaN,NaN,NaN,NaN
05:47:30,|,NaN,NaN,NaN,NaN,NaN
05:52:30,|,NaN,NaN,NaN,NaN,NaN
05:57:30,|,NaN,NaN,NaN,NaN,NaN
06:02:30,|,NaN,NaN,NaN,NaN,NaN
06:07:30,|,NaN,NaN,NaN,NaN,NaN
06:12:30,|,NaN,NaN,NaN,NaN,NaN
06:17:30,|,NaN,NaN,NaN,NaN,NaN
06:22:30,|,NaN,NaN,NaN,NaN,NaN
06:27:30,|,NaN,NaN,NaN,NaN,NaN
06:32:30,|,NaN,NaN,NaN,NaN,NaN
06:37:30,|,NaN,NaN,NaN,NaN,NaN
06:42:30,|,NaN,NaN,NaN,NaN,NaN
06:47:30,|,NaN,NaN,NaN,NaN,NaN
06:52:30,|,NaN,NaN,NaN,NaN,NaN
06:57:30,|,NaN,NaN,NaN,NaN,NaN
