CDT_Time,bar_fence,R_Bulk_lconv_10_15,L_lconv_10,L_lconv_15,Term_3_lconv_10,Term_3_lconv_15
23:57:30,|,0.398639714872537,388.257844830134,508.182177896491,0.0257560797113451,0.0295169737397899
00:02:30,|,0.707072553752149,440.268048863365,570.568495618006,0.0227134356577019,0.0262895692895783
00:07:30,|,0.458849201705151,483.568612043993,341.757945625228,0.0206795886890405,0.043890713272396
00:12:30,|,0.198220888049719,635.520855204349,870.328570890043,0.0157351248477669,0.0172348702567126
00:17:30,|,0.264962227988464,490.724635994406,517.49044725805,0.0203780272407477,0.0289860423114635
00:22:30,|,0.203405713460186,359.861903601824,504.174435380848,0.0277884374531201,0.0297516076725889
00:27:30,|,0.0735318655365789,275.80383111231,476.920230507777,0.0362576544338425,0.0314518006166974
00:32:30,|,0.0636486004036622,392.281517958045,724.420528336236,0.0254918968705263,0.0207062050470191
00:37:30,|,0.0432725028232842,494.278818829439,836.309395446262,0.0202314961091843,0.0179359458134461
00:42:30,|,0.0741321117312907,598.629497022909,726.255191458612,0.0167048233502221,0.0206538971100144
00:47:30,|,0.0584177224010096,675.720005444482,1030.82900870304,0.0147990290644453,0.0145513949193888
00:52:30,|,0.097512154590247,968.619914870826,1935.37856010889,0.0103239669621428,0.0077504217051759
00:57:30,|,0.164900808302286,663.299932119597,1052.54247885073,0.0150761360219722,0.0142512062946651
01:02:30,|,0.00368585304033982,548.687514733147,1961.08633441123,0.0182253099104387,0.007648821847766
01:07:30,|,-0.0618579914702823,595.956488766325,430.179933956686,0.0167797485026143,0.0348691299057903
01:12:30,|,-0.0836763734169512,406.780601993177,869.869171503336,0.0245832764664814,0.0172439724172274
01:17:30,|,-0.0732218761936491,336.276951860043,453.304613973341,0.0297373933737866,0.0330903316172338
01:22:30,|,-0.143578942608355,693.366297620199,1408.0428089343,0.0144223912156135,0.0106530851937328
01:27:30,|,-0.0905159445946851,394.831352711874,1021.49774825465,0.025327269304516,0.0146843201814486
01:32:30,|,-0.1269488140334,422.6642757938,193.660250907156,0.0236594398266074,0.0774552337391694
