CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv
18:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,1.05750668,NaN,NaN,NaN,NaN,NaN,|,NaN,1.932355285,2.016659498,2.208543539,2.345385075,2.565310955,|,NaN,2.49087882,NaN,NaN,NaN,NaN
18:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,1.094398141,NaN,NaN,NaN,NaN,NaN,|,NaN,2.198892117,2.279053211,2.498835802,2.656447411,2.903920889,|,NaN,2.820549965,NaN,NaN,NaN,NaN
18:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,1.074296713,NaN,NaN,NaN,NaN,NaN,|,NaN,1.888422251,1.962762475,2.102988243,2.149755955,2.335856199,|,NaN,2.257836103,NaN,NaN,NaN,NaN
18:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.996826649,NaN,NaN,NaN,NaN,NaN,|,NaN,1.957585216,2.045202494,2.241832972,2.410769224,2.580125332,|,NaN,2.536081314,NaN,NaN,NaN,NaN
18:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.901950002,NaN,NaN,NaN,NaN,NaN,|,NaN,1.394907355,1.480396748,1.606002212,1.676636457,1.758940816,|,NaN,1.727198362,NaN,NaN,NaN,NaN
18:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.728546679,NaN,NaN,NaN,NaN,NaN,|,NaN,1.522393346,1.594868422,1.723114967,1.826564074,1.908486128,|,NaN,1.895327926,NaN,NaN,NaN,NaN
18:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.717112362,NaN,NaN,NaN,NaN,NaN,|,NaN,1.481113672,1.549782991,1.68349874,1.79169631,1.940735698,|,NaN,1.873577833,NaN,NaN,NaN,NaN
18:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.751749992,NaN,NaN,NaN,NaN,NaN,|,NaN,1.538995504,1.575306654,1.696234941,1.79079318,1.895613074,|,NaN,1.853340507,NaN,NaN,NaN,NaN
18:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.94441998,NaN,NaN,NaN,NaN,NaN,|,NaN,1.917858005,2.014341831,2.165018082,2.297002792,2.45833993,|,NaN,2.395088196,NaN,NaN,NaN,NaN
18:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.960080028,NaN,NaN,NaN,NaN,NaN,|,NaN,1.872748256,1.980626941,2.137249947,2.203699827,2.317855358,|,NaN,2.241479874,NaN,NaN,NaN,NaN
18:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,1.013769984,NaN,NaN,NaN,NaN,NaN,|,NaN,2.095199585,2.183358431,2.362926245,2.473602295,2.670309305,|,NaN,2.591258526,NaN,NaN,NaN,NaN
