CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
18:02:30,|,274.932821035,274.752182841,0.00197701,0.002393159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:07:30,|,274.917678714,274.736767054,0.001325509,0.001690387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:12:30,|,274.935849786,274.755025029,0.001162074,0.001319976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:17:30,|,274.923926234,274.740216613,0.001328373,0.001670663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:22:30,|,274.934139967,274.756033421,0.000978594,0.001473616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:27:30,|,274.935578704,274.750040412,0.000709506,0.00097408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:32:30,|,274.938952327,274.757208943,0.000769145,0.001466699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:37:30,|,274.9222821,274.741593957,0.000767761,0.001047515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:42:30,|,274.935076237,274.75432229,0.000637028,0.000586967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:47:30,|,274.9322896,274.754835367,0.00105335,0.001439925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:52:30,|,274.92727983,274.747426867,0.001152562,0.001701985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:57:30,|,274.873298764,274.69345212,0.001331074,0.001578005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:02:30,|,274.852704167,274.674946547,0.001131632,0.001670177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:07:30,|,274.85361886,274.676826835,0.000506932,0.000996079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:12:30,|,274.823065758,274.644207239,0.00111093,0.001202015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:17:30,|,274.811168551,274.632990718,0.000883245,0.001750589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:22:30,|,274.77815783,274.599073648,0.000762752,0.000800036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:27:30,|,274.767310619,274.585816503,0.000903206,0.001247655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:32:30,|,274.721913338,274.542087197,0.001283238,0.001248409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:37:30,|,274.732359052,274.546413422,0.001513157,0.001753998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:42:30,|,274.725749254,274.541936994,0.001099391,0.001127166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:47:30,|,274.716495514,274.539980531,0.001302022,0.001516752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:52:30,|,274.718554616,274.540899992,0.000709561,0.000974128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:57:30,|,274.672663927,274.495248795,0.001198716,0.001528625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:02:30,|,274.65258944,274.476582408,0.001098691,0.00149303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:07:30,|,274.637830734,274.462311864,0.000754688,0.000897756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:12:30,|,274.605729342,274.43354845,0.000718991,0.000932003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:17:30,|,274.624865294,274.448982358,0.000176332,0.000491976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:22:30,|,274.652612209,274.472640395,0.000319335,0.000730622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:27:30,|,274.654206514,274.485328317,-3.21e-05,0.000300534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:32:30,|,274.632615566,274.463826776,0.000111153,0.000206146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:37:30,|,274.607192874,274.438159227,0.000189772,0.000698849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:42:30,|,274.594052553,274.446453929,7.87e-05,0.000458899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:47:30,|,274.626723051,274.433696628,3.2e-05,0.000336084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:52:30,|,274.640308976,274.48264575,-1.35e-06,0.000545865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:57:30,|,274.644271016,274.511250377,-0.000664825,-0.001231304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:02:30,|,274.671700835,274.51264298,-0.000289215,2.1e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:07:30,|,274.64182663,274.483382463,0.000110758,0.001033822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:12:30,|,274.598511219,274.426478028,7.55e-05,9.53e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:17:30,|,274.578959107,274.41997695,-0.000298974,-0.000599598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:22:30,|,274.627109289,274.471992373,-0.000287186,-9.11e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:27:30,|,274.638710856,274.488702178,0.000170373,0.000265771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:32:30,|,274.629379392,274.471158862,0.00026827,0.000593044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:37:30,|,274.591544271,274.439546108,-0.000439123,0.000253231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:42:30,|,274.640077949,274.489296436,1.92e-05,0.000604185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
