CDT_Time,bar_fence,R_Bulk_Rel_15_20,L_Rel_15,L_Rel_20,Term_3_Rel_15,Term_3_Rel_20
18:02:30,|,6.88078153187896,-300.166157007007,-290.637687665535,-0.0499723224948702,-0.0688142001150791
18:07:30,|,2.45554216443841,-210.564227089443,-413.133353520583,-0.0712371717045192,-0.048410518854425
18:12:30,|,2.90719249190407,-212.29268675038,-311.167201490104,-0.0706571678450583,-0.0642741262711008
18:17:30,|,10.0892862868407,-274.79412262827,-318.694765965795,-0.0545863203205819,-0.0627559725977633
18:22:30,|,2.75933245558008,-606.918942712842,-630.122382258178,-0.024714997249801,-0.0317398660373335
18:27:30,|,6.02814722796738,-466.426886312614,-425.120574552875,-0.0321593811166934,-0.0470454765004851
18:32:30,|,2.42279005093328,-270.768413961705,-305.757142891933,-0.0553978943870517,-0.0654113909190629
18:37:30,|,8.35628187269544,-515.54826183409,-392.333233810926,-0.0290952392054174,-0.0509770732541064
18:42:30,|,3.58758350095571,-241.416314934263,-253.322126714118,-0.0621333318093454,-0.078950860943034
18:47:30,|,3.31074166197313,-336.922505927541,-429.222697307209,-0.0445206233958913,-0.0465958583399082
18:52:30,|,2.70093696045136,-386.574821871517,-343.654055462759,-0.0388023201495141,-0.0581980619232569
18:57:30,|,3.76527664939337,-9705.19911315998,-3419.1029643591,-0.00154556334446147,-0.00584948748501609
19:02:30,|,1.89470391953696,1766.36157691401,2813.69417653754,0.00849203254647688,0.00710809304251092
19:07:30,|,2.4605260303801,685.565767713366,687.473403009857,0.0218797389053292,0.0290920345608094
19:12:30,|,4.29735941308308,421.361224952524,642.458895283903,0.0355989092296998,0.0311303962740869
19:17:30,|,4.17182869337936,451.480185664101,598.472140755234,0.0332240494185495,0.0334184310981649
19:22:30,|,3.27110633529108,514.560952819762,455.110913391389,0.0291510654234468,0.0439453315917306
19:27:30,|,5.90160555738349,356.441738673186,439.909310818095,0.0420826137136346,0.0454639161030854
19:32:30,|,4.22475522997717,444.239663693344,634.063662189268,0.0337655577066041,0.0315425740231586
19:37:30,|,4.29829963693262,642.877693497483,563.21498376892,0.0233325874450468,0.0355104188922036
19:42:30,|,2.37888222700393,4139.28386088379,6252.08191087977,0.00362381525503721,0.00319893441658151
19:47:30,|,2.73211051671827,2197.09062203083,66395.9090788902,0.00682721042527371,0.000301223377727029
19:52:30,|,2.30631903235148,2246.16756676414,3555.31813163884,0.0066780413990258,0.00562537563713909
19:57:30,|,1.99351829065473,11228.7680554547,9982.00747648565,0.00133585447004699,0.00200360499099139
20:02:30,|,2.25819900314527,900.099554408543,3272.06638004071,0.0166648232704176,0.00611234543467642
20:07:30,|,4.6034585405636,1013.30838449274,1631.89777076961,0.0148029960370939,0.012255669661567
20:12:30,|,4.89383795641746,429.061934108355,668.610143329064,0.0349599878422491,0.0299127977634596
20:17:30,|,3.20663540797727,833.596356189491,870.865364553005,0.0179943204989133,0.0229656624480244
20:22:30,|,5.00025104589716,960.979413239472,1251.33510136436,0.0156090752760612,0.015982928935817
20:27:30,|,2.43787117317614,1218.21086089942,1654.354069859,0.0123131392778138,0.0120893104833989
20:32:30,|,2.05566122833707,422.486826925657,955.413713029101,0.0355040655566747,0.0209333399000427
20:37:30,|,NaN,NaN,NaN,NaN,NaN
