CDT_time,bar_fence,T_0_2m_init,T_0_2m_rel,T_0_2m_uconv,T_0_2m_lconv,bar_fence_1,T_1_5m_init,T_1_5m_rel,T_1_5m_uconv,T_1_5m_lconv,bar_fence_2,T_4_5m_init,T_4_5m_rel,T_4_5m_uconv,T_4_5m_lconv,bar_fence_3,T_8_5m_init,T_8_5m_rel,T_8_5m_uconv,T_8_5m_lconv,bar_fence_4,T_15m_init,T_15m_rel,T_15m_uconv,T_15m_lconv,bar_fence_5,T_20m_init,T_20m_rel,T_20m_uconv,T_20m_lconv
18:02:30,|,-7.99677848815918,-7.94386672973633,-7.78144788742065,0,|,-7.69228172302246,-7.95677852630615,-7.91851854324341,0,|,-8.08559989929199,-8.21946334838867,-8.10422801971436,0,|,0,NaN,0,0,|,0,-8.34269332885742,0,0,|,0,-7.67444467544556,0,0
18:07:30,|,-8.13197994232178,-8.07257556915283,-7.90942764282227,0,|,-7.80284261703491,-8.08218860626221,-8.03363609313965,0,|,-8.18367290496826,-8.33167743682861,-8.21235656738281,0,|,0,NaN,0,0,|,0,-8.42926216125488,0,0,|,0,-7.78463077545166,0,0
18:12:30,|,-8.29561901092529,-8.2571907043457,-8.11073875427246,0,|,-7.90409374237061,-8.2033224105835,-8.19444370269775,0,|,-8.27450942993164,-8.39097595214844,-8.34595966339111,0,|,0,NaN,0,0,|,0,-8.49060440063477,0,0,|,0,-7.83241605758667,0,0
18:17:30,|,-8.30154323577881,-8.25893402099609,-8.13434410095215,0,|,-7.90063524246216,-8.22252559661865,-8.22030258178711,0,|,-8.2707691192627,-8.42590522766113,-8.35538768768311,0,|,0,NaN,0,0,|,0,-8.52026844024658,0,0,|,0,-7.87026834487915,0,0
18:22:30,|,-8.37093925476074,-8.31471633911133,-8.19562339782715,0,|,-7.96953153610229,-8.27747440338135,-8.2765998840332,0,|,-8.3351993560791,-8.45973110198975,-8.42057228088379,0,|,0,NaN,0,0,|,0,-8.55906009674072,0,0,|,0,-7.89370346069336,0,0
18:27:30,|,-8.43953037261963,-8.34481620788574,-8.25919532775879,0,|,-8.0091609954834,-8.2956371307373,-8.31821632385254,0,|,-8.36079978942871,-8.49073791503906,-8.47000026702881,0,|,0,NaN,0,0,|,0,-8.58013439178467,0,0,|,0,-7.93671131134033,0,0
18:32:30,|,-8.49577140808105,-8.37036800384521,-8.32316493988037,0,|,-8.04993343353271,-8.31464672088623,-8.35498332977295,0,|,-8.40545463562012,-8.49959754943848,-8.47861957550049,0,|,0,NaN,0,0,|,0,-8.57852363586426,0,0,|,0,-7.93751668930054,0,0
18:37:30,|,-8.65496635437012,-8.50920009613037,-8.4725923538208,0,|,-8.19290924072266,-8.4069128036499,-8.48148155212402,0,|,-8.52425479888916,-8.56130886077881,-8.5702018737793,0,|,0,NaN,0,0,|,0,-8.67328834533691,0,0,|,0,-8.0477180480957,0,0
18:42:30,|,-8.76798725128174,-8.69103622436523,-8.59241580963135,0,|,-8.30187892913818,-8.56420803070068,-8.60740756988525,0,|,-8.62207508087158,-8.71785259246826,-8.69154930114746,0,|,0,NaN,0,0,|,0,-8.77261734008789,0,0,|,0,-8.10946083068848,0,0
18:47:30,|,-8.80879211425781,-8.74093627929688,-8.64064025878906,0,|,-8.32120323181152,-8.60879135131836,-8.64430999755859,0,|,-8.67888832092285,-8.76582527160645,-8.71565628051758,0,|,0,NaN,0,0,|,0,-8.81999969482422,0,0,|,0,-8.11587238311768,0,0
18:52:30,|,-8.89795970916748,-8.82347774505615,-8.72441101074219,0,|,-8.37691211700439,-8.65915775299072,-8.69898986816406,0,|,-8.6899995803833,-8.78396034240723,-8.77087497711182,0,|,0,NaN,0,0,|,0,-8.82604026794434,0,0,|,0,-8.14140892028809,0,0
