CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
21:57:30,|,NaN,275.391649246,NaN,-0.003119371,2.234191656,2.966710329,-0.865852654,-0.917564511,-0.066832438,-0.082573466,0.020648321,0.028245099
22:02:30,|,NaN,275.288430452,NaN,-0.00615536,2.009008646,2.573933125,-1.004683852,-1.075421453,-0.051316697,-0.062603235,0.016882982,0.008956252
22:07:30,|,NaN,275.288790464,NaN,-0.004552198,1.832844257,2.367775202,-0.960281432,-1.035145402,-0.046944816,-0.043092143,0.020405136,0.015156877
22:12:30,|,NaN,275.394124746,NaN,-0.002949417,2.047370195,2.752312183,-0.984692156,-1.110613465,-0.056130297,-0.082436562,0.018559704,0.028093215
22:17:30,|,NaN,275.447064638,NaN,0.001160082,1.963384628,2.531239271,-1.061389804,-1.131432891,-0.045745544,-0.051526338,0.013278409,0.011408254
22:22:30,|,NaN,275.522103548,NaN,0.002554025,2.272578478,2.953662157,-1.047722936,-1.138589025,-0.071801826,-0.087384835,0.014387622,0.013821644
22:27:30,|,NaN,275.543241739,NaN,0.003064344,2.632508993,3.492556095,-1.196128011,-1.294471622,-0.096577592,-0.073009223,0.03112065,0.02909098
22:32:30,|,NaN,275.575260639,NaN,0.0028996,2.415580273,3.017194033,-1.100773215,-1.216455579,-0.060532987,-0.082198314,0.022585131,0.034037463
22:37:30,|,NaN,275.60645318,NaN,0.003084017,2.03911376,2.752743959,-1.18331182,-1.380632997,-0.047950856,-0.035279576,0.034624364,0.00344144
22:42:30,|,277.520781517,275.642831326,0.009313541,0.004026505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:47:30,|,277.58587122,275.680221081,0.002657386,0.003004406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:52:30,|,277.575070858,275.685921431,0.003500862,0.003645628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:57:30,|,277.57083416,275.708913565,0.001162295,0.000811395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:02:30,|,277.556263924,275.716732502,-0.00068777,0.000303218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:07:30,|,277.421321869,275.635540009,-0.004614835,-0.006056673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:12:30,|,277.317956448,275.557749033,-0.006979762,-0.004947555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
