CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
21:57:30,|,275.391649246,275.772901535,-0.003119371,-0.001832248,2.234191656,2.966710329,-0.865852654,-0.917564511,-0.066832438,-0.082573466,0.020648321,0.028245099
22:02:30,|,275.288430452,275.690113544,-0.00615536,-0.005449747,2.009008646,2.573933125,-1.004683852,-1.075421453,-0.051316697,-0.062603235,0.016882982,0.008956252
22:07:30,|,275.288790464,275.686606169,-0.004552198,-0.003219299,1.832844257,2.367775202,-0.960281432,-1.035145402,-0.046944816,-0.043092143,0.020405136,0.015156877
22:12:30,|,275.394124746,275.768128872,-0.002949417,-0.001672516,2.047370195,2.752312183,-0.984692156,-1.110613465,-0.056130297,-0.082436562,0.018559704,0.028093215
22:17:30,|,275.447064638,275.815397024,0.001160082,0.001270404,1.963384628,2.531239271,-1.061389804,-1.131432891,-0.045745544,-0.051526338,0.013278409,0.011408254
22:22:30,|,275.522103548,275.89441824,0.002554025,0.003351432,2.272578478,2.953662157,-1.047722936,-1.138589025,-0.071801826,-0.087384835,0.014387622,0.013821644
22:27:30,|,275.543241739,275.91223979,0.003064344,0.00419187,2.632508993,3.492556095,-1.196128011,-1.294471622,-0.096577592,-0.073009223,0.03112065,0.02909098
22:32:30,|,275.575260639,275.941630125,0.0028996,0.002938527,2.415580273,3.017194033,-1.100773215,-1.216455579,-0.060532987,-0.082198314,0.022585131,0.034037463
22:37:30,|,275.60645318,275.973069906,0.003084017,0.002382121,2.03911376,2.752743959,-1.18331182,-1.380632997,-0.047950856,-0.035279576,0.034624364,0.00344144
22:42:30,|,275.642831326,276.015048742,0.004026505,0.003900672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:47:30,|,275.680221081,276.056969643,0.003004406,0.003435266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:52:30,|,275.685921431,276.066104412,0.003645628,0.003243154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:57:30,|,275.708913565,276.094956875,0.000811395,0.001168038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:02:30,|,275.716732502,276.108140469,0.000303218,0.000623259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:07:30,|,275.635540009,276.048692703,-0.006056673,-0.003227075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:12:30,|,275.557749033,275.99393487,-0.004947555,-0.004670527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:17:30,|,275.502496004,275.936874628,-0.00486954,-0.003424609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:22:30,|,275.437877417,275.895701647,-0.00575749,-0.004973098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:27:30,|,275.358452082,275.830626011,-0.007504388,-0.007081082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:32:30,|,275.316200972,275.78553009,-0.017327826,-0.018154157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:37:30,|,275.273462534,275.764954567,-0.014118429,-0.011411976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:42:30,|,275.259725809,275.736979723,-0.016799878,-0.018848512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:47:30,|,275.286845684,275.7689991,-0.009776767,-0.011073017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:52:30,|,275.171346664,275.646761179,-0.009348397,-0.014190284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:57:30,|,274.956618071,275.543802738,-0.006196421,-0.003247111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:02:30,|,274.940903783,275.528483152,-0.011143348,-0.010932109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:07:30,|,274.733051181,275.347179413,-0.007970881,-0.008213619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:12:30,|,274.771606207,275.359730244,-0.015562175,-0.010972337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:17:30,|,274.687633276,275.297563314,-0.007295258,-0.006359626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:22:30,|,274.549679875,275.146726608,-0.007595724,-0.007885657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:27:30,|,274.797921538,275.297270298,-0.006948141,-0.00608487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:32:30,|,274.775530815,275.326159954,-0.00489313,-0.004902056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:37:30,|,274.702924132,275.313580751,-0.004213081,-0.004245678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:42:30,|,274.357906222,275.10564971,-0.004796859,-0.001262623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:47:30,|,274.012530208,274.907690287,-0.001377214,0.000380104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
