CDT_Time,Rel_1_5,Rel_0_4,Rel_1_5_v_0_4,bar_fence_1,Upper_3_0,Upper_0,Upper_3_0_v_0,bar_fence_2,CDT_Time_1,Lower_1_5,Lower_0,Lower_1_5_v_0,bar_fence_3,CDT_Time_2,Upper_v_Lower_0,Upper_v_Init_3,Lower_v_Rel_0,Lower_v_Rel_1_5,,,,
23:23:46,NaN,0,NaN,|,NaN,NaN,NaN,|,23:23:46,NaN,NaN,NaN,|,23:23:46,NaN,NaN,NaN,NaN,,,,
23:23:47,NaN,0.004,NaN,|,NaN,NaN,NaN,|,23:23:47,NaN,NaN,NaN,|,23:23:47,NaN,NaN,NaN,NaN,,,,
23:23:48,NaN,0.017,NaN,|,NaN,NaN,NaN,|,23:23:48,NaN,NaN,NaN,|,23:23:48,NaN,NaN,NaN,NaN,,Rel_1_5:,,Dustrak 8530 (DT7) @ Release Tower 1.5 m
23:23:49,NaN,0.019,NaN,|,NaN,NaN,NaN,|,23:23:49,NaN,NaN,NaN,|,23:23:49,NaN,NaN,NaN,NaN,,Rel_0_4:,,Dustrak 8530 (DT6) @ Release Tower 0.4 m
23:23:50,NaN,0.015,NaN,|,NaN,NaN,NaN,|,23:23:50,NaN,NaN,NaN,|,23:23:50,NaN,NaN,NaN,NaN,,Rel_1_5_v_0_4:,,1.5 m versus 0.4 m @ Release Tower
23:23:51,NaN,0.018,NaN,|,NaN,NaN,NaN,|,23:23:51,NaN,NaN,NaN,|,23:23:51,NaN,NaN,NaN,NaN,,,,
23:23:52,NaN,0.022,NaN,|,NaN,NaN,NaN,|,23:23:52,NaN,NaN,NaN,|,23:23:52,NaN,NaN,NaN,NaN,,Upper_3_0:,,Dustrak 8530 (DT8) @ Upper Convergence Tower 3.0 m
23:23:53,NaN,0.02,NaN,|,NaN,NaN,NaN,|,23:23:53,NaN,NaN,NaN,|,23:23:53,NaN,NaN,NaN,NaN,,Upper_0:,,Dustrak 8520 (DT2) @ Upper Convergence Tower 0.0 m
23:23:54,NaN,0.014,NaN,|,NaN,NaN,NaN,|,23:23:54,NaN,NaN,NaN,|,23:23:54,NaN,NaN,NaN,NaN,,Upper_3_0_v_0:,,3.0 m versus 0.0 m @ Upper Convergence Tower
23:23:55,NaN,0.013,NaN,|,NaN,NaN,NaN,|,23:23:55,NaN,NaN,NaN,|,23:23:55,NaN,NaN,NaN,NaN,,,,
23:23:56,NaN,0,NaN,|,NaN,NaN,NaN,|,23:23:56,NaN,NaN,NaN,|,23:23:56,NaN,NaN,NaN,NaN,,Lower_1_5:,,Dustrak 8530 (DT10) @ Lowe Convergence Tower 1.5 m
23:23:57,NaN,0.037,NaN,|,NaN,NaN,NaN,|,23:23:57,NaN,NaN,NaN,|,23:23:57,NaN,NaN,NaN,NaN,,Lower_0:,,Dustrak 8520 (DT3) @ Lowe Convergence Tower 0.0 m
23:23:58,NaN,0.046,NaN,|,NaN,NaN,NaN,|,23:23:58,NaN,NaN,NaN,|,23:23:58,NaN,NaN,NaN,NaN,,Lower_1_5_v_0:,,1.5 m versus 0.0 m @ Lower Convergence Tower
23:23:59,NaN,0,NaN,|,NaN,NaN,NaN,|,23:23:59,NaN,NaN,NaN,|,23:23:59,NaN,NaN,NaN,NaN,,,,
23:24:00,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:00,NaN,NaN,NaN,|,23:24:00,NaN,NaN,NaN,NaN,,Upper_v_Lower_0:,,Upper Conv / Lower Conv @ 0.0 m
23:24:01,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:01,NaN,NaN,NaN,|,23:24:01,NaN,NaN,NaN,NaN,,Upper_v_Init_3:,,Upper Conv / Initiation @ 3.0 m
23:24:02,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:02,NaN,NaN,NaN,|,23:24:02,NaN,NaN,NaN,NaN,,Lower_v_Rel_0:,,Lower Conv / Release @ 0.0 m
23:24:03,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:03,NaN,NaN,NaN,|,23:24:03,NaN,NaN,NaN,NaN,,Lower_v_Rel_1_5:,,Lower Conv / Release @ 1.5 m
23:24:04,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:04,NaN,NaN,NaN,|,23:24:04,NaN,NaN,NaN,NaN,,,,
23:24:05,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:05,NaN,NaN,NaN,|,23:24:05,NaN,NaN,NaN,NaN,,,,
23:24:06,NaN,0.004,NaN,|,NaN,NaN,NaN,|,23:24:06,NaN,NaN,NaN,|,23:24:06,NaN,NaN,NaN,NaN,,,,
23:24:07,NaN,0.001,NaN,|,NaN,NaN,NaN,|,23:24:07,NaN,NaN,NaN,|,23:24:07,NaN,NaN,NaN,NaN,,,,
23:24:08,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:08,NaN,NaN,NaN,|,23:24:08,NaN,NaN,NaN,NaN,,,,
23:24:09,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:09,NaN,NaN,NaN,|,23:24:09,NaN,NaN,NaN,NaN,,,,
23:24:10,NaN,0.001,NaN,|,NaN,NaN,NaN,|,23:24:10,NaN,NaN,NaN,|,23:24:10,NaN,NaN,NaN,NaN,,,,
23:24:11,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:11,NaN,NaN,NaN,|,23:24:11,NaN,NaN,NaN,NaN,,,,
23:24:12,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:12,NaN,NaN,NaN,|,23:24:12,NaN,NaN,NaN,NaN,,,,
23:24:13,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:13,NaN,NaN,NaN,|,23:24:13,NaN,NaN,NaN,NaN,,,,
23:24:14,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:14,NaN,NaN,NaN,|,23:24:14,NaN,NaN,NaN,NaN,,,,
23:24:15,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:15,NaN,NaN,NaN,|,23:24:15,NaN,NaN,NaN,NaN,,,,
23:24:16,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:16,NaN,NaN,NaN,|,23:24:16,NaN,NaN,NaN,NaN,,,,
23:24:17,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:17,NaN,NaN,NaN,|,23:24:17,NaN,NaN,NaN,NaN,,,,
23:24:18,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:18,NaN,NaN,NaN,|,23:24:18,NaN,NaN,NaN,NaN,,,,
23:24:19,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:19,NaN,NaN,NaN,|,23:24:19,NaN,NaN,NaN,NaN,,,,
23:24:20,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:20,NaN,NaN,NaN,|,23:24:20,NaN,NaN,NaN,NaN,,,,
23:24:21,NaN,0.001,NaN,|,NaN,NaN,NaN,|,23:24:21,NaN,NaN,NaN,|,23:24:21,NaN,NaN,NaN,NaN,,,,
23:24:22,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:22,NaN,NaN,NaN,|,23:24:22,NaN,NaN,NaN,NaN,,,,
23:24:23,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:23,NaN,NaN,NaN,|,23:24:23,NaN,NaN,NaN,NaN,,,,
23:24:24,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:24,NaN,NaN,NaN,|,23:24:24,NaN,NaN,NaN,NaN,,,,
23:24:25,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:25,NaN,NaN,NaN,|,23:24:25,NaN,NaN,NaN,NaN,,,,
23:24:26,NaN,0.001,NaN,|,NaN,NaN,NaN,|,23:24:26,NaN,NaN,NaN,|,23:24:26,NaN,NaN,NaN,NaN,,,,
23:24:27,NaN,0.002,NaN,|,NaN,NaN,NaN,|,23:24:27,NaN,NaN,NaN,|,23:24:27,NaN,NaN,NaN,NaN,,,,
23:24:28,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:28,NaN,NaN,NaN,|,23:24:28,NaN,NaN,NaN,NaN,,,,
23:24:29,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:29,NaN,NaN,NaN,|,23:24:29,NaN,NaN,NaN,NaN,,,,
23:24:30,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:30,NaN,NaN,NaN,|,23:24:30,NaN,NaN,NaN,NaN,,,,
23:24:31,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:31,NaN,NaN,NaN,|,23:24:31,NaN,NaN,NaN,NaN,,,,
23:24:32,NaN,0.001,NaN,|,NaN,NaN,NaN,|,23:24:32,NaN,NaN,NaN,|,23:24:32,NaN,NaN,NaN,NaN,,,,
23:24:33,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:33,NaN,NaN,NaN,|,23:24:33,NaN,NaN,NaN,NaN,,,,
23:24:34,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:34,NaN,NaN,NaN,|,23:24:34,NaN,NaN,NaN,NaN,,,,
23:24:35,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:35,NaN,NaN,NaN,|,23:24:35,NaN,NaN,NaN,NaN,,,,
23:24:36,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:36,NaN,NaN,NaN,|,23:24:36,NaN,NaN,NaN,NaN,,,,
23:24:37,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:37,NaN,NaN,NaN,|,23:24:37,NaN,NaN,NaN,NaN,,,,
23:24:38,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:38,NaN,NaN,NaN,|,23:24:38,NaN,NaN,NaN,NaN,,,,
23:24:39,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:39,NaN,NaN,NaN,|,23:24:39,NaN,NaN,NaN,NaN,,,,
23:24:40,NaN,0,NaN,|,NaN,NaN,NaN,|,23:24:40,NaN,NaN,NaN,|,23:24:40,NaN,NaN,NaN,NaN,,,,
