CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
18:02:30,|,269.76685214,270.017150402,-0.00769872,-0.009554599,0.260865569,0.43468377,1.544773579,2.287156582,-0.009840758,-0.023855543,-0.05059604,-0.078997321
18:07:30,|,269.699962854,269.946905613,-0.013562394,-0.012821256,0.176930085,0.191271111,1.496551037,1.97078979,-0.010460387,-0.02948793,-0.024054362,-0.03831486
18:12:30,|,269.579251051,269.844362259,-0.020716172,-0.018440057,0.4042238,0.601385117,2.110502243,2.899576426,-0.026436258,-0.028395137,-0.053022828,-0.079480216
18:17:30,|,269.605592728,269.851539612,-0.009405268,-0.01107596,0.264779985,0.323206335,1.665553212,2.245141268,-0.005869828,-0.000987685,-0.029863281,-0.020090673
18:22:30,|,269.511153936,269.750048161,-0.010257039,-0.012567804,0.153764054,0.186343178,1.737643003,2.324152708,-0.004546485,-0.013909567,-0.038401209,-0.052088566
18:27:30,|,269.494043827,269.730389833,-0.007147349,-0.006815634,0.299471587,0.429182976,1.75468421,2.421183109,-0.013590324,0.002951236,-0.037842844,-0.047385816
18:32:30,|,269.399321556,269.657536745,-0.010415857,-0.012034627,0.215038136,0.296525657,1.739244103,2.385558367,-0.008467097,-0.004621645,-0.042335454,-0.066107653
18:37:30,|,269.343698978,269.585194588,-0.019951295,-0.027436255,-0.034838665,-0.00430212,1.754086494,2.292485476,-0.009767578,-0.012121515,-0.026282771,-0.038657095
18:42:30,|,269.305233955,269.568701744,-0.009089877,-0.011464322,-0.126770124,-0.156575397,1.577440858,2.019592524,0.002394865,-0.003030195,-0.023184897,-0.028023111
18:47:30,|,269.234649658,269.490295887,-0.009290203,-0.008296485,-0.145288423,-0.091071509,1.52912271,2.011213779,0.001008073,-0.01359146,-0.024860108,-0.035312522
18:52:30,|,269.1784482,269.429147482,-0.002490812,-0.009944413,-0.295579791,-0.288808346,1.74855113,2.235477686,-0.00020423,-0.00422113,-0.03099885,-0.026971141
18:57:30,|,269.145774364,269.411213636,-0.009906033,-0.004789084,-0.327452153,-0.396779299,1.659346223,2.114552021,0.000130747,0.004357827,-0.026354901,-0.037831444
19:02:30,|,269.163916826,269.415697813,-0.014117951,-0.014271708,-0.195418626,-0.280805945,1.649155617,2.171748161,-0.001036034,-0.003288775,-0.030631628,-0.032264896
19:07:30,|,269.138450623,269.380339622,-0.007065522,-0.007968738,-0.224579126,-0.304018527,1.499451637,1.949507356,-0.001926587,-0.003787672,-0.023910183,-0.012476882
19:12:30,|,269.081821918,269.34668088,-0.006706255,-0.004931651,-0.191720977,-0.205881119,1.463016868,1.961202145,-0.001034534,-0.007370097,-0.025382847,-0.031318713
19:17:30,|,269.059845924,269.366589546,-0.01184904,-0.009795171,-0.251886368,-0.341504902,1.272696257,1.6485219,0.004526879,0.002066088,-0.016210588,-0.021883788
19:22:30,|,268.971561909,269.255850315,-0.020547925,-0.019327907,-0.38347894,-0.500432968,1.097172141,1.447771072,0.006749542,0.001179883,-0.014913767,-0.016927052
19:27:30,|,268.873779297,269.14774394,-0.014794069,-0.021437466,-0.710516512,-0.946234405,1.293525815,1.638089895,0.011458744,-0.002254506,-0.026712872,-0.021704834
19:32:30,|,268.731444836,269.03639698,-0.027822195,-0.024822118,-0.756783128,-0.960107267,1.064126611,1.446098685,0.007281173,-0.00407904,-0.013025223,-0.016298339
19:37:30,|,268.650696754,268.953641891,-0.009439534,-0.012548866,-0.687834322,-0.912841141,1.039418936,1.403204679,0.007221891,-0.001546198,-0.016600233,-0.01785855
19:42:30,|,268.529413223,268.89167738,-0.023012398,-0.020762956,-0.690517068,-0.934326053,0.975933909,1.364794016,0.008980122,0.00074036,-0.024897533,-0.025811397
19:47:30,|,268.587769508,268.915286064,-0.031719718,-0.037543278,-0.670305848,-0.882856488,1.067134738,1.429894567,0.010887615,0.006913878,-0.021791536,-0.02198096
19:52:30,|,268.661043644,268.958960056,-0.017167393,-0.017173951,-0.630121827,-0.777607441,1.049244523,1.408189416,0.007477936,-0.00221374,-0.022152996,-0.025353929
19:57:30,|,268.726075172,269.015130043,-0.007167836,-0.012254429,-0.292196333,-0.384996802,1.19772172,1.542040229,-0.002330169,-0.007061324,-0.007801608,-0.029338807
20:02:30,|,268.728395462,269.023090363,-0.020369893,-0.023483036,-0.425362676,-0.57486856,1.302024245,1.615736961,-0.005369443,-0.015897587,-0.021388434,-0.030736072
20:07:30,|,268.814027786,269.098138809,-0.013348985,-0.008780277,-0.331485063,-0.348738432,1.860937834,2.443247557,-0.007023588,-0.018137682,-0.03040993,-0.031756718
20:12:30,|,268.787158012,269.053675413,-0.008661026,-0.01064869,-0.621718585,-0.765251815,1.402871609,1.834733844,0.010759263,0.011591787,-0.025981965,-0.021119604
20:17:30,|,268.663430691,268.926693439,-0.009176609,-0.008659572,-0.498728961,-0.66311121,1.212105751,1.589318991,0.002800537,0.000118046,-0.014935574,-0.017269412
20:22:30,|,268.709986687,268.949175835,-0.015976777,-0.01677897,-0.525722861,-0.660707295,1.319318295,1.659646869,0.003523978,-0.002194849,-0.005808418,-0.003632213
20:27:30,|,268.687150002,268.930940151,-0.009731928,-0.008983276,-0.478129566,-0.550996721,1.424003005,1.835164428,0.012526365,-0.009462863,-0.032003533,-0.03226497
20:32:30,|,268.721803665,268.989573002,-0.013961555,-0.012966751,-0.408596516,-0.467183083,2.101241589,2.505480289,-0.000162257,0.011276548,-0.025786864,-0.016582938
20:37:30,|,268.775095463,269.027234077,-0.024128059,-0.030048434,-0.465264738,-0.60615629,1.484032154,1.952125192,0.019355541,0.001778568,-0.026985073,-0.030245835
20:42:30,|,268.804144382,269.052288294,-0.008363192,-0.007297694,-0.545132339,-0.725024283,1.475664377,1.902222276,0.000710441,-0.000600019,-0.025118351,-0.063309342
20:47:30,|,268.765335083,268.999006271,-0.008896938,-0.010305753,-0.776248455,-0.927507937,1.997933149,2.41616559,-0.002842655,-0.016078237,-0.033709809,-0.031221217
20:52:30,|,268.711351395,268.951701164,-0.007777086,-0.020606132,-0.943759859,-1.126933217,1.792117,2.393821716,0.02944562,-0.007677927,-0.06400387,-0.096091993
20:57:30,|,268.701605797,268.95146656,-0.02392515,-0.012913713,-0.716510952,-0.924918473,1.403627038,1.715330005,0.009473191,0.000839226,-0.042094707,-0.045764271
21:02:30,|,268.7748909,269.012858152,-0.017998535,-0.014405812,-0.882179677,-1.147504926,1.912538409,2.363349676,0.004514946,-0.024478706,-0.060070574,-0.076698467
21:07:30,|,268.716215611,268.951042175,-0.008942861,-0.011266258,-0.565471828,-0.794565558,1.721549153,2.130065203,0.013469853,0.00985319,-0.033867434,-0.078839213
21:12:30,|,268.709314346,268.944433689,-0.014639823,-0.02036863,-0.589190006,-0.779329419,1.533549547,1.974319816,0.008412847,0.015716635,-0.026592955,-0.039454952
21:17:30,|,268.697543144,268.926634312,-0.023122109,-0.027790463,-0.63253969,-0.835544586,1.548287988,1.984468341,0.008859999,0.000128406,-0.032205392,-0.024148511
21:22:30,|,268.6913414,268.929924011,-0.015495068,-0.010951697,-0.788288772,-1.021805406,1.634045124,2.025712013,0.009497214,-0.002756399,-0.023995293,-0.053673174
21:27:30,|,268.55256176,268.800812244,-0.008620082,-0.008180793,-0.864164591,-1.058550239,1.559412479,1.884000659,0.007989191,-0.007442466,-0.023665681,-0.02696315
21:32:30,|,268.588564873,268.811522484,-0.02110824,-0.022647236,-0.917316318,-1.132195473,1.643058538,2.079807043,0.006634609,-0.002237733,-0.030231243,-0.05641669
21:37:30,|,268.516655922,268.753477097,-0.013690785,-0.015032369,-0.714031577,-0.952063441,1.928454518,2.348020315,0.013173181,0.006657517,-0.038973406,-0.036632594
21:42:30,|,268.597584724,268.830504417,-0.013934437,-0.013321619,-0.577291787,-0.6822927,1.5387187,1.871468186,0.001147128,-0.001662121,-0.014625076,-0.035846256
21:47:30,|,268.674641609,268.905835629,-0.020421857,-0.020592436,-0.320396721,-0.476141393,1.686890841,2.179611683,0.004837296,-0.012325787,-0.039984394,-0.039993566
21:52:30,|,268.625230789,268.867558479,-0.012403307,-0.015972424,-0.856678665,-0.948713601,2.000640154,2.497531891,-0.005802015,-0.043241255,-0.051942158,-0.064204514
21:57:30,|,268.58696413,268.814552307,-0.01224063,-0.00719918,-0.630194247,-0.822541893,1.692972779,2.097051859,0.006014276,-0.008877709,-0.047492985,-0.077951446
22:02:30,|,268.572422981,268.817471504,-0.010048236,-0.010897619,-0.285388112,-0.419378489,1.662223101,2.046469927,-0.000408745,0.007320545,-0.041153233,-0.064384654
22:07:30,|,268.597099781,268.83045578,-0.013920495,-0.01052544,-0.621884406,-0.777904749,1.426751018,1.988668442,0.006954038,-0.003505552,-0.033125266,-0.06641008
22:12:30,|,268.491941452,268.727911472,-0.012837532,-0.016331624,-0.46258831,-0.698451877,1.321023226,1.729417562,0.004193574,0.015514006,-0.020197414,-0.053454556
22:17:30,|,268.411722183,268.708662033,-0.019665396,-0.023784839,-0.368523717,-0.553530633,0.715244353,1.007709146,-0.011961945,-0.010351571,-0.016185204,-0.032404263
22:22:30,|,268.405631065,268.69449091,-0.011646816,-0.012002474,-0.582144499,-0.693123639,0.942341864,1.270124197,0.000493723,0.003220062,-0.01307786,-0.03216562
22:27:30,|,268.366579533,268.65787077,-0.006837974,-0.008104608,-0.255397797,-0.347825825,0.923909783,1.265092611,0.005316749,0.00225169,-0.007177516,0.001230784
22:32:30,|,268.488336086,268.781438828,-0.008554939,-0.011053468,0.469207853,0.481593162,0.524953365,0.84956491,0.004030434,0.003021484,-0.005307933,-0.014314708
22:37:30,|,268.46225071,268.780594826,-0.004655057,-0.006640798,0.290781558,0.40843159,0.67806071,1.027875781,-0.001473912,-0.001346435,-0.010793874,-0.013908799
22:42:30,|,268.510398865,268.830894947,-0.009538016,-0.011108409,-0.430000991,-0.511748075,0.774129272,1.138697863,-0.005903626,-0.019663526,-0.007579247,-0.011860061
22:47:30,|,267.745752335,268.320261955,-0.014531385,-0.040133532,-0.841352105,-1.169534564,0.913613915,1.391848803,0.014496417,0.001723819,-0.020787455,-0.024423758
22:52:30,|,267.862092495,268.222757816,-0.009544945,-0.015461382,-0.477242798,-0.61177057,0.367261738,0.772520542,-9.64e-05,-0.010806339,-0.004380047,-0.018737352
22:57:30,|,268.112178802,268.434000015,-0.016183931,-0.00816505,-0.595525026,-0.77224642,0.675984025,1.050474405,0.002877136,0.000875521,-0.005323031,-0.007899224
23:02:30,|,267.91177702,268.424732208,-0.024205212,-0.017505636,-0.55134511,-0.776278913,0.694251239,1.110960603,0.004152102,-0.002318492,-0.007289636,-0.009843485
23:07:30,|,267.980002403,268.365207672,-0.015647195,-0.016298145,-0.626074255,-0.857327163,0.815373302,1.224325895,0.009188497,0.00232389,-0.011716697,-0.027847288
23:12:30,|,268.011863708,268.347444534,-0.010246136,-0.010238611,-0.592434824,-0.81502068,0.845597267,1.24275887,0.004583952,0.004778876,-0.007906009,-0.017600747
23:17:30,|,267.746019363,268.284630775,-0.00678455,-0.009152672,-0.4994241,-0.708948135,0.452358514,0.75159055,0.00225273,0.000923542,-0.002730505,-0.00480522
23:22:30,|,267.989774227,268.339110851,-0.012128009,-0.011653867,-0.500931025,-0.710212171,0.515997648,0.929255962,0.003370721,0.000676592,-0.005656696,-0.014998061
23:27:30,|,268.125790119,268.403234959,-0.008821018,-0.010408448,-0.4825688,-0.682772756,0.717235804,1.025563717,0.005564481,0.010854603,-0.007670755,-0.02251032
