time_tag,bar_line,five_min_rain
19:02:30,|,1
19:07:30,|,1
19:12:30,|,1
19:17:30,|,1
19:22:30,|,1
19:27:30,|,1
19:32:30,|,1
19:37:30,|,1
19:42:30,|,1
19:47:30,|,1
19:52:30,|,1
19:57:30,|,1
20:02:30,|,1
20:07:30,|,1
20:12:30,|,1
20:17:30,|,1
20:22:30,|,1
20:27:30,|,1
20:32:30,|,1
20:37:30,|,1
20:42:30,|,1
20:47:30,|,1
20:52:30,|,1
20:57:30,|,1
21:02:30,|,1
21:07:30,|,1
21:12:30,|,1
21:17:30,|,1
21:22:30,|,1
21:27:30,|,1
21:32:30,|,1
21:37:30,|,1
21:42:30,|,1
21:47:30,|,1
21:52:30,|,1
21:57:30,|,1
22:02:30,|,1
22:07:30,|,1
22:12:30,|,1
22:17:30,|,1
22:22:30,|,1
22:27:30,|,1
22:32:30,|,1
22:37:30,|,1
22:42:30,|,1
22:47:30,|,1
22:52:30,|,1
22:57:30,|,1
23:02:30,|,1
23:07:30,|,1
23:12:30,|,1
23:17:30,|,1
23:22:30,|,1
23:27:30,|,1
23:32:30,|,1
23:37:30,|,1
23:42:30,|,1
23:47:30,|,1
23:52:30,|,1
23:57:30,|,1
00:02:30,|,1
00:07:30,|,1
00:12:30,|,1
00:17:30,|,1
00:22:30,|,1
00:27:30,|,1
00:32:30,|,1
00:37:30,|,1
00:42:30,|,1
00:47:30,|,1
00:52:30,|,1
00:57:30,|,1
01:02:30,|,1
01:07:30,|,1
01:12:30,|,1
01:17:30,|,1
01:22:30,|,1
01:27:30,|,1
01:32:30,|,1
01:37:30,|,1
01:42:30,|,1
01:47:30,|,1
01:52:30,|,1
01:57:30,|,1
02:02:30,|,1
02:07:30,|,1
02:12:30,|,1
02:17:30,|,1
02:22:30,|,1
02:27:30,|,1
02:32:30,|,1
02:37:30,|,1
02:42:30,|,1
02:47:30,|,1
02:52:30,|,1
02:57:30,|,1
03:02:30,|,1
03:07:30,|,1
03:12:30,|,1
03:17:30,|,1
03:22:30,|,1
03:27:30,|,1
03:32:30,|,1
03:37:30,|,1
03:42:30,|,1
03:47:30,|,1
03:52:30,|,1
03:57:30,|,1
04:02:30,|,1
04:07:30,|,1
04:12:30,|,1
04:17:30,|,1
04:22:30,|,1
04:27:30,|,1
04:32:30,|,1
04:37:30,|,1
04:42:30,|,1
04:47:30,|,1
04:52:30,|,1
04:57:30,|,1
05:02:30,|,1
05:07:30,|,1
05:12:30,|,1
05:17:30,|,1
05:22:30,|,1
05:27:30,|,1
05:32:30,|,1
05:37:30,|,1
05:42:30,|,1
05:47:30,|,1
05:52:30,|,1
05:57:30,|,1
06:02:30,|,1
06:07:30,|,1
06:12:30,|,1
06:17:30,|,1
06:22:30,|,1
06:27:30,|,1
06:32:30,|,1
06:37:30,|,1
06:42:30,|,1
06:47:30,|,1
06:52:30,|,1
06:57:30,|,1
07:02:30,|,1
07:07:30,|,1
07:12:30,|,1
07:17:30,|,1
