CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
19:02:30,|,0.376076669,1.465390086,1.872409463,2.185411453,2.543671131,3.183353424,|,0.144196659,0.693499207,1.314233303,1.581500292,2.027241468,3.281240463,|,NaN,0.596033573,1.293386579,1.624700785,1.618213773,2.276306152,|,0.209386662,0.842105031,1.197245359,1.546378851,2.211850643,2.861598253,|,2.681319237,2.735193491,3.988995314,2.869472504,4.328625679,3.179517031,,1,1,0,1
19:07:30,|,0.48761332,1.629603744,2.014526129,2.433610201,2.807234287,3.423549175,|,0.144260004,0.653951347,1.319125175,1.454883575,1.706876993,2.580848455,|,NaN,0.620249271,1.224492669,1.626312613,1.820695996,2.202077866,|,0.168356672,0.670035362,0.723481297,1.013336062,1.753914595,2.751496315,|,2.147618055,2.440290928,3.479886532,3.140784502,4.103733063,3.311130285,,1,1,0,1
19:12:30,|,0.620870292,1.904880643,2.315119267,2.698243856,2.995231867,3.405455589,|,0.172503337,0.674292743,1.397820234,1.771724701,1.995139837,2.534734488,|,NaN,0.785360634,0.771574497,1.160827041,1.681732535,2.636715651,|,0.176175386,0.709629238,0.868343413,0.93279326,1.075113416,2.203113079,|,2.270910025,1.602095366,3.147463083,3.05961895,3.703511715,3.589032412,,1,1,0,1
19:17:30,|,0.592536688,1.898218036,2.404361725,2.698344231,2.93753767,3.280845165,|,0.17622,0.844821215,1.422058582,1.459195852,1.78975749,2.783221245,|,NaN,0.788832963,1.036619306,1.131183863,1.611057878,2.667545557,|,0.19805333,0.772853374,0.834122837,0.907910049,1.114071608,2.285932541,|,2.359513283,1.775972486,3.276406765,2.963869333,3.577628851,3.4018929,,1,1,0,1
19:22:30,|,0.553756654,1.926466823,2.298212767,2.498832464,2.787177086,3.122612238,|,0.172626674,0.85071063,1.410174847,1.481973052,1.760434866,2.806431293,|,NaN,0.879070699,1.118795633,1.185489416,1.678534269,2.675913811,|,0.280863345,0.847729743,0.880169988,1.024146557,1.56419456,2.358994484,|,2.341882467,2.084511042,3.258711815,2.920752764,3.477915764,3.397135496,,1,1,0,1
19:27:30,|,0.423886657,1.681679487,2.200804234,2.471962214,2.742950678,3.102769136,|,0.16050683,0.842819095,1.261741042,1.318640709,1.644204259,2.637263298,|,NaN,0.848060906,1.030980229,1.126574874,1.716699958,2.678195477,|,0.255080014,0.884144425,0.810052991,1.260828018,1.881253839,2.54788065,|,2.216406584,2.273508072,3.11073947,3.105177879,3.431361675,3.51277256,,1,1,0,0
19:32:30,|,0.56050998,1.911478043,2.328361034,2.542632341,2.780003548,3.183769464,|,0.158656672,0.787553549,1.357624888,1.477706194,1.790577769,2.785152674,|,NaN,0.870598972,1.127917647,1.147353172,1.474801898,2.485420465,|,0.285103321,0.972679973,0.976877868,1.247115374,1.678604364,2.296355009,|,2.330217838,2.0682621,3.306675196,2.799674988,3.575623035,3.281718969,,1,1,0,1
19:37:30,|,0.645355105,1.792674184,2.228032112,2.615039587,2.914292812,3.298605442,|,0.136143327,0.697848558,1.361903429,1.523231268,1.775349498,2.637298822,|,NaN,0.788090765,1.085196614,1.166415095,1.575059652,2.388374805,|,0.259156674,0.902507544,1.141494393,1.189325809,1.47467947,2.325066566,|,2.22504878,1.987383842,3.25917244,2.967039824,3.705332756,3.542321682,,1,1,0,1
19:42:30,|,0.555310011,1.804365158,2.362909317,2.666110039,2.914759398,3.238024712,|,0.145736665,0.677079558,1.284629464,1.430763364,1.743301034,2.892126799,|,NaN,0.815838873,1.071106076,1.189147353,1.662652373,2.506636381,|,0.237110004,0.908156037,0.798150599,0.971209228,1.415720344,2.190689087,|,2.360570908,1.880591989,3.412494421,2.699190617,3.756110191,3.154393435,,1,1,0,0
19:47:30,|,0.4592264,1.761085749,2.166540623,2.378595591,2.600004673,2.924047709,|,0.143933326,0.702027023,1.149531245,1.316849351,1.63635242,2.618791342,|,NaN,0.66630739,0.885027826,1.104089499,1.638410807,2.563748837,|,0.116738915,0.431121647,0.405312359,0.694638193,1.234474897,1.988347888,|,2.173951387,1.743866086,3.128272295,2.515931606,3.471693516,2.958525658,,1,1,0,0
